g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131
g1	-1.0225863745493085	-1.0225863745493085	-1.0225863745493085	-1.0225863745493085	-3.679734847838766	-1.0225863745493085	-0.42186893924760843	-0.39673947094077444	0.10944079977064027	0.029134804053022847	0.014655228092407548	0.023922422332126842	-0.2704794227233158	-0.007199670798896922	-0.11480519829576974	-0.23248418172344382	-0.3252465002232989	-0.0026309879229987313	-0.14687302491739881	-1.323537597322402	0.35852004483226796	-1.127380815757983	0.07060915038776851	-0.7685970847674534	-1.0225863745493085	-2.5353819145663583	-0.5276328480837604	-4.955854920042684	-1.0225863745493085	-1.0225863745493085	-0.5255213839189896	-0.7523592317073183	-1.0753011116180347	-3.4533835518585336	-5.461799580764475	-0.8068515093287462	-0.7950680217179835	-6.605841499588009	0.08621309592943124	-0.05154118647100536	-1.146595120695966	-1.0595159854822658	-1.0225863745493085	-1.0225863745493085	-0.331880875313568	-0.28360254282284725	-1.476281488662787	0.046518998825291875	-0.39508608480345037	0.0838056453287087	-1.0225863745493085	0.05099615150001312	-0.1600613680096221	-0.17962412953357054	-1.577043679874823	-3.5910056048971994	-1.0225863745493085	-3.26248974701147	-1.0225863745493085	-1.137060684344753	-5.03136214162543	-1.0225863745493085	-0.5656434582535105	-1.0225863745493085	-0.6697628720099165	-0.8293134566054863	-1.0225863745493085	-2.1374637059162898	0.18452151698683097	-3.267037952210641	-4.725622629548414	0.11950226534326737	-2.9540091328482005	-3.972879927974916	-0.02065067570197803	-0.7037810791837505	-0.09942026256402121	-2.2044657637337006	-0.4544486893267788	-1.4207348763543008	-1.2498531728714413	-0.6970996008666752	-2.358143270054869	-2.6627159288823217	-1.0225863745493085	-4.016039265722675	-1.0225863745493085	-1.0225863745493085	-1.0225863745493085	-0.23590017559534834	-1.0225863745493085	-0.28286166201676666	-0.8756321583412573	-1.0225863745493085	-2.3712730569686733	-1.0225863745493085	-2.387683362632733	-0.7523203476687504	-1.768425049509922	-1.0225863745493085	-1.6404788295724049	-0.7156540725346121	-0.35471152130932815	-1.0225863745493085	-1.64607152499054	-0.7260783627569912	-0.35511190220102357	-0.34700237105695736	-1.0225863745493085	-1.0225863745493085	-4.331975302748768	-2.039743341763957	-0.5885216880236254	-1.0225863745493085	-1.0225863745493085	-0.44979475391994683	-1.0225863745493085	-1.0225863745493085	-0.7006146555205929	-0.49337368645083357	-2.027798497252368	-1.5198093415467249	-0.42877754670135015	-3.3103322723724755	-2.1659651933992694	-1.5561854456905428	-1.308769592328135	-1.8730271437422346	-3.357448134314426	-1.0225863745493085	-3.5205045205569565	
g2	-2.0372905815474565	-2.0372905815474565	-2.0372905815474565	-2.0372905815474565	-2.0372905815474565	-2.0372905815474565	-2.9571539795186474	-2.479311238968794	-2.6978365608413806	-2.3882043969915334	-3.1622601621815996	-3.1215869656729276	-2.478088929462241	-3.354523362222206	-1.5021904348324107	-1.9934247754585495	-2.067231265005867	-1.1585452981141686	-2.021247904943817	-0.7517299251229157	-1.879340175976772	-1.5591030664852898	-0.4608540956408207	-0.9254342813423551	-1.7130999317452067	-2.0372905815474565	-2.0790756349266153	-2.0372905815474565	-2.0372905815474565	-5.697349891085704	-1.7211778402729128	-2.0372905815474565	-1.6122933711080762	-2.067049894312567	-2.36353824644507	-1.9930054850386836	-3.224438651545664	-2.1451202497186497	-1.228577510079346	-4.075167358174366	-1.8878630451887015	-1.822794006647051	-1.6432882404100693	-2.0317396375498418	-2.5102844445091708	-3.4940440488602205	-2.4966146254237023	-3.474508381795158	-3.358986756678693	-1.9611986253180491	-2.107082122290861	-2.051446993964443	-1.8185081172793662	-7.871548214816322	-3.1281185108055514	-2.0372905815474565	-2.0372905815474565	-7.626646899742502	-2.0372905815474565	-2.0372905815474565	-2.0372905815474565	-3.134502379305	-2.0372905815474565	-2.2556046470009488	-6.340747638393651	-2.0372905815474565	-2.0372905815474565	-2.0372905815474565	-1.4685950822328588	-2.0372905815474565	-1.1874245591761885	-1.2086710059091545	-2.1074426608510004	-5.162453907011479	-1.3476264011029726	-1.818838915508064	-2.938895719135044	-1.4556214473830404	-1.7745917905175754	-3.2039006722965686	-4.951518270130597	-2.0372905815474565	-2.454624641127441	-2.643396404004906	-2.0372905815474565	-2.3572337451313965	-3.9100897094520843	-1.5708757739952723	-3.2506047526176967	-2.0372905815474565	-1.2625347428082705	-1.7951631504650944	-4.795819208914113	-10.616419007067874	-2.2176920917263336	-4.601176835921262	-2.0372905815474565	-1.4550636256811398	-2.0372905815474565	-1.466273205440508	-2.4832263764169342	-3.466002164514775	-3.002552942298877	-4.391864487643017	-2.0372905815474565	-2.807831089993129	-2.335407937646882	-1.0977396061898173	-2.933551171118531	-4.529855715898153	-1.8311372130506829	-3.9345434946628157	-2.26566365936372	-2.0372905815474565	-2.0372905815474565	-2.0372905815474565	-2.0372905815474565	-1.6939477918214076	-1.5926146152224678	-4.266149370885111	-6.455581878453521	-1.5419540338216056	-2.3263278032475507	-3.7978443539500915	-1.7116768780379321	-2.3247440967120663	-1.161537077952683	-2.0372905815474565	-4.017276878992715	-2.0372905815474565	-2.0372905815474565	
g3	-0.6601991688358954	-0.6601991688358954	-0.6601991688358954	-0.6601991688358954	-0.6601991688358954	-0.6601991688358954	0.675734650288793	0.8718436485093177	0.5494621765720976	0.6094807673353735	0.5383295661345536	0.6462087489149267	0.8845588495052517	0.5669125478569399	0.6896033246337663	0.4379734003380242	0.5663670576150722	0.7362151976249298	-0.9280204623038225	-0.30039506692060136	-1.5012140301618828	0.3986458845857065	0.5020861427356237	0.6228460351098335	0.6397137531143581	-0.6601991688358954	0.29649852175856845	-2.1070572608834572	-3.273580293046235	-2.3168371608516227	-0.05749225071189256	-0.11073362855406783	0.06415166405834082	-1.7778235868912644	0.3568537120026498	-0.1898645942228948	-1.5609152144445178	-5.016342732986956	-0.33717106261644936	0.24271834366942663	-0.15523674859171274	-1.3733907871758388	-3.481372209232951	-0.10091874729540944	-2.842997695149305	-0.7835240261849716	-1.4892567794937759	-0.3021728141677025	-0.9067805943053971	-2.6731681604431037	-0.7592216402286339	0.11129845340254099	0.3586663199939863	-0.9983245616037836	-3.236993031798185	-0.37369918174918204	-0.6601991688358954	0.42968558678359536	-0.6601991688358954	0.014798032424170339	-0.3234834368849827	-0.304620799010131	-3.6978178397378487	-0.24742950894379942	-0.6601991688358954	-4.673775614870918	-0.9385140984043886	-0.6601991688358954	-2.054020809479389	-2.396672995219396	-1.398657189184382	-0.6601991688358954	0.13489119358237633	-1.7317764265812108	-1.193799695883888	0.3030500846816728	-0.50350492618047	-0.76911577233593	-2.1950939659762967	-0.6601991688358954	-2.8159457296368946	-0.7659083084687647	-0.030046102367913732	-1.1581427842421521	-0.6601991688358954	-1.3229888656234334	-0.6601991688358954	-3.462992252199114	0.23663343691309466	-3.3240359687696963	-0.4602565349839174	-0.6601991688358954	-0.7152537276104441	-0.6601991688358954	-0.9860132841209692	-1.8440850093714916	-0.6601991688358954	-0.9192659406422736	0.21337839072506246	-0.6601991688358954	-0.35886279242651137	-1.6411806695547457	-0.3769965793632684	-0.6601991688358954	-0.6601991688358954	0.1270785443308421	-0.6601991688358954	-0.15432609869655994	-1.8896207193591121	-0.6601991688358954	0.531768206911696	0.38727429990866813	-1.1794296989918325	-1.7807503035986676	-0.29439536793926585	1.554687074379261	-1.598500594178826	-0.9564259141800187	0.8182697674291378	-3.467948411229892	0.010837115831259275	-2.340279990078084	-1.6459721907050113	-2.718549810928762	-0.8597553383380235	0.5598246103148385	-2.860284292047603	-0.40952157357972757	0.33073048062749827	0.2153555458360885	-0.6601991688358954	
g4	-5.479327328893357	-5.976554430340586	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-1.3131830670655675	-1.85029839722589	-1.57417120637039	-1.2118889764449927	-1.2964562802661836	-0.9671600090958073	-0.7139255678950939	-0.9999422933524896	-0.7274798686789484	-0.4127867280668482	-0.8863155012386852	-0.30825324305485446	-1.3228444972268727	-1.0315479280567987	-3.796099752432914	-5.699147642148098	-0.9446849360957273	-1.5322363978842999	-2.0502633839101287	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-1.3714186214367878	-2.7725349229670297	-1.794752639693524	-1.3606566863584477	-1.3679328450449229	-0.7712194741017268	-1.4280169900172892	-1.1028215438652365	-0.764366059789705	-1.4280169900172892	-1.1545316272796309	-1.2979843881642719	-0.8887683272136162	-0.9576190134880351	-1.916001066277488	-1.4280169900172892	-1.361071691522693	-4.874296004897808	-1.3541471176521824	-2.7742512429911064	-0.5502453106008054	-2.674613585340227	-1.0228446574506789	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-3.9186603725480613	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-0.9167335211235789	-2.919795338977135	-1.4280169900172892	-1.4280169900172892	-5.887174449965721	-2.614597678936144	-3.195655617738711	-1.2970198254089702	-1.2133434225293682	-6.8026076184684765	-4.5782149502987695	-1.4818153802967402	-1.8145596675598985	-1.5731191112435146	-1.0922448159244027	-4.823207470417537	-4.288980930788234	-1.4280169900172892	-3.5420380555473154	-1.5353777327022065	-2.516685174730728	-1.4280169900172892	-1.7067566622093013	-1.4280169900172892	-1.0945412681939681	-2.5638893436791657	-1.4280169900172892	-1.6406272672516347	-1.4280169900172892	-1.4280169900172892	-2.0365022012238256	-1.9797090312334265	-3.511509670284621	-1.4280169900172892	-1.4280169900172892	-1.4280169900172892	-6.139795188465432	-1.4280169900172892	-4.533325900152222	-1.4280169900172892	-1.463063843848962	-1.4280169900172892	-2.1769550424273616	-1.945232080066761	-1.6646585280367727	-3.531973537801941	-1.6727955309082543	-1.2399579375138852	-1.4280169900172892	-1.2854810282313576	-1.4280169900172892	-1.280842850327984	-1.2119691835398598	-1.4280169900172892	-0.768987926803144	-0.15234617505609177	-0.6092464815907968	-1.4280169900172892	-1.1674809833318451	-1.6910939792606348	-1.9471000425393883	-1.0101779637450214	-3.402763473139491	-1.0828722833297388	-1.1166294289465666	-1.164670907548677	-0.6983538274017588	-1.3404407270891008	
g5	-2.4396841648480834	-2.2088344019164334	-2.373850599576888	-4.017510510034162	-0.6430558747199001	-0.6430558747199001	0.10728613495222238	-0.3413123065106334	-0.3866531747562646	-0.2397875713153345	-0.39626091409966047	-0.21942448628489905	-0.24048449623219745	-0.2648539255656926	0.0710761620109589	0.3447035337473815	0.039334952103516146	0.34257750074014803	-0.35767179836407864	-0.7884394996478609	-0.6430558747199001	-1.5787793942570334	-0.6430558747199001	-0.47340630313113335	0.10404138038139502	-0.8483359797322181	-6.637953232916489	-0.14388596527262462	-5.886491517389234	-0.6430558747199001	-0.7751842386206619	-0.6430558747199001	-0.6430558747199001	0.5825945385939791	-0.6430558747199001	-0.6430558747199001	-1.1909082945459495	-0.2978992537404092	-0.6430558747199001	-0.30951317402990475	-0.5066785387795634	-0.5776399616156759	0.019545361973952357	0.2591941348921112	-0.6430558747199001	-4.033912158073029	-0.7923969655616172	0.30155252986648917	-0.3597326172083813	-1.3982920751025416	0.9289955922492134	-0.6430558747199001	-1.3600232925890112	-0.6356629002627281	-0.6430558747199001	-0.6430558747199001	-0.6430558747199001	-0.44175783990163275	-0.6430558747199001	-2.1506700181116227	-0.6430558747199001	-0.6430558747199001	-1.266010579477759	-0.154416013848872	-0.8648907125246258	-1.6175740004217793	-0.3013885576049028	-0.41247946563736104	-2.8715904488958888	-0.6430558747199001	0.1553995245329297	-0.6430558747199001	-0.6430558747199001	0.97034567738102	-2.582175023134895	-0.6430558747199001	0.4121419920048446	0.7243097467883842	-3.7214680247708807	-0.6430558747199001	-1.9315135359255702	0.0475383887633606	-4.947951434662994	-1.2638471605740467	0.1281482002406738	0.7310963296145311	-0.6430558747199001	-0.6430558747199001	-0.47482513466415655	-0.6430558747199001	-1.5969722922628418	-0.6430558747199001	-0.6430558747199001	-1.1185483749912213	-0.8600040795400851	-0.6430558747199001	-0.6430558747199001	-0.6430558747199001	-0.6217036873028671	-0.6430558747199001	-0.6430558747199001	0.14143279092929553	-1.7880358795899587	-0.6430558747199001	-1.7629209324053166	-1.8735662733814098	-0.6430558747199001	-0.6430558747199001	-0.09052948079910657	-3.4185966865813127	-0.7430497468660949	-0.40726790513292627	-1.116986103417898	-0.6430558747199001	0.564241575586275	0.7608851785558123	-1.1640177341780835	0.02842770457266734	0.9505878561430411	0.18392473499864526	-0.42138777132620775	-2.682084710425739	-0.9592197638523549	-1.2322977482568687	-0.5811408183936497	-2.006419828570948	-0.8991837817305213	-1.0042564524278776	-0.15101118092442342	0.4435217845653347	-0.6430558747199001	
g6	-2.818915264333548	-6.188101567588534	-1.7328040467816062	-1.7328040467816062	-1.7328040467816062	-1.7328040467816062	-1.5550955069287384	-1.1043747474665742	-2.3736038527508745	-2.501001678153398	-3.0886290100390403	-3.118238290766188	-2.004693499869485	-2.0862071611559023	-2.3223465371262777	-2.3580249254218657	-2.487775136547992	-1.0624959031916543	-1.8031865117003962	-0.5718297311259791	-0.9138521378990003	-1.2203486090470337	-1.7350624924831957	-1.943433118210912	-1.7328040467816062	-1.40472550846537	-1.7022333812735169	-3.3957009003591554	-1.7127641347472258	-0.469943245190764	-0.7940945643530295	-0.7184975840099015	-0.9609009209461371	-1.7328040467816062	-1.5222895193209687	-1.600249209677894	-0.8934024300554831	-1.6481953020336693	-1.2681911468461446	-1.1145193455217055	-4.21464195993514	-0.6433062671127334	-3.5300890241724767	-7.039595050298619	-1.7328040467816062	-2.0292228988559726	-1.343567699800409	-1.343161358903614	-2.7349376291432606	-2.5644098072142296	-1.1293204373328873	-3.1971500150895062	-3.1815682413038213	-0.8793269066064243	-6.567570746965809	-0.746318057519224	-1.7328040467816062	-1.3892621467415838	-2.026163935026362	-0.9159575119047974	-1.1746213961070686	-1.5583508006084592	-1.7328040467816062	-0.6699189442476031	-1.4849577390125457	-1.480506404121513	-1.6374998128680098	-5.4611003388107635	-1.092204829706813	-7.8019635581716695	-2.4898158270193327	-1.7451689536120214	-1.598426324951002	-3.6117200733215316	-0.6759705639067376	-1.5118346530228295	-1.866131396900863	-0.7735407939418466	-1.1885881581731566	-0.9104503252580727	-5.23286390255383	-1.4092629026342256	-1.1340495217065734	-2.706935627999756	-3.625311029674936	-2.110940829393296	-0.8707380877768552	-0.24606691578590487	-0.9739053519859513	-0.9728884229696266	-1.0233078998173917	-1.8174754970389224	-2.7476327868795045	-1.7328040467816062	-1.9523722743969034	-1.7328040467816062	-4.5161238725987785	-0.7805916828854006	-1.253357021057512	-1.478860793920644	-2.176015915187567	-1.0774702557264295	-0.5707793415299218	-6.294604157994054	-2.1557461280015575	-1.7328040467816062	-3.345300508605645	-2.552469467129322	-1.7328040467816062	-2.4817912038190593	-0.5484971470224721	-1.7328040467816062	-1.7328040467816062	-1.7328040467816062	-1.7328040467816062	-1.990091052921761	-1.7328040467816062	-1.7328040467816062	-0.8617202528658032	-0.7982030607821389	-3.7216583413783577	-1.8412855428601698	-1.7328040467816062	-1.7328040467816062	-2.997382441829856	-1.7152063568636793	-1.5736772702527728	-1.787886419330945	-2.6127433489244756	-1.184342602156928	-3.18651142983529	
g7	-2.9855304386738233	-1.4769638481657115	-3.5793871724062822	-1.4769638481657115	-7.479584792093984	-1.4769638481657115	-3.6699510788631353	-3.016669615290584	-2.1316482695779118	-2.0752585523590414	-3.191840690596476	-2.1927572003138134	-2.0302184602389133	-1.5272668612744573	-2.850615753770227	-0.837575960455167	-1.2692165967927882	-0.7853056912669515	-1.3740525147379428	-0.9697402081327982	-0.9955863406730967	-2.008995780315171	-1.2809059502262705	-0.7555975730059737	-2.3426490200222436	-1.4769638481657115	-1.4769638481657115	-2.337462695854263	-1.4769638481657115	-1.4769638481657115	-1.5381781118801874	-1.4769638481657115	-2.3562287586101878	-1.7350913086348554	-1.2457726551175452	-1.4769638481657115	-1.4769638481657115	-3.466624039890877	-2.2025652771493185	-1.7340302933673029	-1.178309374733959	-0.8699996061481571	-4.016296041560478	-3.864575454332671	-2.092992454653799	-5.1368481120216245	-1.1368703196051273	-1.6556532390900165	-2.0404553530510414	-1.538798362716335	-0.47703029771755556	-1.4769638481657115	-3.682306942724331	-1.4769638481657115	-3.3027528335662786	-1.4769638481657115	-1.4769638481657115	-0.7277641560391941	-1.4769638481657115	-1.4769638481657115	-2.430392252781388	-1.6706490356612693	-1.4769638481657115	-1.8630316842190282	-1.6855238827835959	-1.4769638481657115	-3.9454598864495205	-2.628608416075788	-0.6460579790034042	-1.4769638481657115	-1.9353157740243812	-1.9558549200426836	-1.93334176782044	-2.5420632630192666	-1.598382638955853	-1.4769638481657115	-1.4769638481657115	-0.34724460949217306	-1.9722287939253964	-4.565314666119868	-1.4769638481657115	-1.6979301700032228	-1.5516741276344062	-3.0043577430280606	-1.105612927257581	-0.6995294844388297	-1.4769638481657115	-1.4267146751985986	-0.6252442686306052	-1.4769638481657115	-1.1079401033098377	-1.4769638481657115	-3.3212501875139013	-2.487985550481674	-1.9941372742187304	-1.4769638481657115	-1.4769638481657115	-1.4769638481657115	-2.389352847101488	-1.4769638481657115	-1.4769638481657115	-1.6005291849435397	-1.4769638481657115	-1.6358534356920555	-1.4769638481657115	-1.5285815187607539	-1.2693383087284331	-2.5686401990259613	-1.4769638481657115	-1.6213285793765089	-1.471476688418077	-4.326899521592894	-2.8712948362995756	-1.4769638481657115	-1.2209269068760717	-2.1700303220245454	-1.4769638481657115	-0.6726598440573348	-0.25849936009583774	-0.8401874214525424	-4.323515932903445	-1.5900106562443195	-1.5495314323860756	-1.4769638481657115	-0.6206984400714087	-5.52403523765285	-1.4251137629791486	-1.2891113728997774	-1.6658116115802002	-0.07244027760122815	-0.5475901193024642	
g8	-5.086764745776029	-1.5392270834729043	-1.5392270834729043	-1.5392270834729043	-1.5392270834729043	-1.5392270834729043	-4.448823624763265	-1.5392270834729043	-1.5392270834729043	-1.5392270834729043	-4.1220265073389495	-5.110243008395292	-2.136873492144962	-4.145094724102873	-2.219733581467731	-3.440827352602782	-2.6051478603088	-0.8636117169983738	-1.5392270834729043	-0.22650490864867176	-1.5527699488038582	-2.430765582820846	-1.8607138823033833	-0.7091226869428063	-1.5392270834729043	-2.657263222468828	-3.2691088033669224	-1.5392270834729043	-2.5819331384906703	-0.9256288377992791	-1.5392270834729043	-0.8225720101847801	-1.5392270834729043	-0.6045642324884489	-3.691876816825608	-1.5392270834729043	-1.5392270834729043	-2.8742219573386203	-1.5392270834729043	-3.798566875583267	-1.5392270834729043	-1.6784920790888451	-3.279465856694416	-1.5392270834729043	-1.5392270834729043	-3.6529013293777317	-2.4406158728864336	-1.5392270834729043	-1.5392270834729043	-1.522347537769965	-1.2894886637684082	-1.1498982948147427	-1.486844827414231	-1.5392270834729043	-2.2409839673522156	-1.5392270834729043	-2.0172476777725836	-1.5392270834729043	-1.5392270834729043	-1.5392270834729043	-2.160395085051891	-2.6034283712180324	-1.6863408477129775	-1.4061012872634922	-1.5392270834729043	-0.6964822480535198	-0.22093026975062247	-0.7338311399369284	-1.6805762878205799	-4.568049763466651	-4.181594420478375	-6.1733453545974495	-1.5392270834729043	-1.9917712960874048	-1.0957093662644846	-1.5376041983400772	-2.648254089259216	-1.6132287764619997	-1.284338533320234	-0.7534678675962215	-0.6853359534720387	-1.5392270834729043	-0.8968018408200861	-1.6850923778306461	-2.1781885753980554	-4.1904703094082745	-1.5392270834729043	-0.5014080328741084	-0.9794046384824797	-0.843717301909359	-4.871041502275531	-3.4260981330470908	-6.299709442041395	-1.5392270834729043	-2.4003775108143	-1.5392270834729043	-1.0086909515468538	-1.095197629067032	-1.5392270834729043	-3.019205467516495	-1.0612700807508988	-2.1359347248173965	-3.3113917090879994	-0.3421898994140166	-6.489272980721656	-1.5392270834729043	-1.5392270834729043	-0.4219907059713203	-1.5392270834729043	-1.908810657137039	-2.1340970175790024	-1.4734143152103318	-2.2067017062548997	-2.5504143275696354	-0.4010003008677154	-2.5788698981811584	-2.184398340556961	-1.3480193114120567	-1.5615282866180575	-0.5739113319405843	-6.265566536679274	-0.5735978267523495	0.20784288731152512	0.0882773096804519	-1.7170075395949966	-1.2538661302506329	-2.6459134963873363	-1.5392270834729043	-1.7444678451447384	-0.47364067483323574	-0.5183579941206634	
g9	-1.9343077026656301	-1.9343077026656301	-1.9343077026656301	-7.067769465595325	-6.800354664237902	-10.731896224487809	-2.6698133641215853	-2.093854412079127	-2.9678596508104205	-2.368968378197142	-2.959374045536609	-2.6737019704073544	-3.0699363927556544	-2.5034292542246415	-2.3536382370108626	-2.72430634537915	-2.522384836576446	-1.3064340936974805	-2.474652716249872	-1.9093362320675642	-1.2765899749595484	-2.1946778239492133	-0.4092858937291909	-0.7992295051049171	-1.769683838518475	-1.9343077026656301	-1.8877616035454698	-2.7807304750557353	-1.9343077026656301	-1.9343077026656301	-1.9039864900059005	-1.9343077026656301	-3.201629244552907	-2.4010707864011676	-2.919598838574001	-4.336835757256333	-2.597138143860974	-3.453162323237841	-0.9549792750378391	-1.5103707518515823	-0.6735684993981725	-1.4504037666820375	-4.155495433008825	-1.3130826922049375	-3.7759202004319796	-1.9343077026656301	-1.7544167193911837	-2.454339965795197	-2.800354664237902	-2.0705119621819046	-1.8482762393551535	-1.9343077026656301	-1.9343077026656301	-2.706935627999756	-3.2508793999639707	-1.9343077026656301	-1.9343077026656301	-1.9343077026656301	-1.9343077026656301	-3.0187961574899496	-1.9343077026656301	-3.174334839548317	-1.9343077026656301	-3.427820457762569	-1.9343077026656301	-3.3260601143126403	-1.9343077026656301	-1.9343077026656301	-1.797884484549284	-1.9343077026656301	-3.5629939033469795	-1.9343077026656301	-2.1564791786264452	-1.6476301624701855	-1.9343077026656301	-2.0866912057975475	-1.3480266565488377	-1.1103800537409723	-1.9343077026656301	-2.159460227272058	-3.3709670462395147	-6.055051622759175	-2.539351784475132	-1.7705597380394802	-1.9935683960847683	-1.6748807331770912	-3.448429843872404	-2.333036220177897	-4.729789233121685	-1.9343077026656301	-2.2292808777773	-2.521175189142893	-6.072810469388753	-1.9343077026656301	-3.1117761661094385	-1.9343077026656301	-2.4730177706915804	-1.4426771628619117	-2.2424441644109163	-1.9343077026656301	-1.786437457783536	-1.2414170959395279	-1.2208663764745489	-4.091848078668455	-1.9343077026656301	-1.9343077026656301	-1.9343077026656301	-3.721544148401169	-2.522973456526073	-1.9343077026656301	-2.282319409915466	-1.954065031111271	-2.252954676714914	-1.9343077026656301	-1.7061916527868337	-0.5404802485031448	-1.6758898928293793	-3.0747661722296185	-3.4368223408624843	-1.8949227231901302	-1.9343077026656301	-2.674153101761185	-1.5821750231348957	-1.9343077026656301	-1.5733981637551318	-1.9343077026656301	-2.0870160356568688	-2.3260022421540665	-1.447819695823179	-5.9577815305794175	-3.66846445487336	
g10	-0.6595015356794777	-1.0039844500084871	-1.583578496013838	-3.820840589781103	-1.583578496013838	-1.583578496013838	-0.7945874670966159	-2.906569631667835	-2.247730959634189	-1.473582579152777	-4.685458916796224	-1.583578496013838	-10.075143040698643	-3.8155698889242524	-2.8947081226511284	-2.5321320825959863	-1.8513183485303402	-1.507874035694802	-1.1981526576490102	-2.7536819129753805	-2.4188975397418218	-1.583578496013838	-0.8095671868385212	-0.677469561424173	-1.2285944139347895	-1.583578496013838	-1.583578496013838	-1.8585776728986125	-1.583578496013838	-1.583578496013838	-3.0852456808370983	-1.583578496013838	-1.583578496013838	-0.6601101009152759	-4.38458370273713	-1.583578496013838	-1.5352062867079772	-1.3226315802082784	-1.583578496013838	-1.856298351646473	-1.2869377025422448	-4.03999843874515	-1.0470045114983473	-1.0197143433138631	-3.062866565628492	-1.583578496013838	-3.188851248458804	-1.2475939287846196	-1.934129943567873	-3.5671944884028375	-1.0285046363171066	-1.583578496013838	-0.9895810591379081	-1.583578496013838	-1.7517177790475595	-5.112986391843316	-0.5986163744243969	-0.9443406472880383	-0.578824645509403	-7.451788305295075	-2.384493301702717	-2.720745050543328	-0.142534885447194	-0.39960273158855036	-0.38675880120235345	-1.7620056176778298	-4.380371012170075	0.2196858614048547	-1.5954717657533413	-1.583578496013838	-0.36839278330792347	-1.4243430128775607	-3.027039783040357	-1.4876901703886067	-2.461092394826639	-1.583578496013838	-0.5937637638141561	-1.5532102039818256	-2.5248403894592935	-1.583578496013838	-1.2734721730979979	-0.7441053364846173	-3.080661443211184	-3.291789804669365	-0.8993963580657788	-0.9923796479915177	-1.583578496013838	-2.2006672908148053	-1.583578496013838	-1.583578496013838	-1.4329141073630274	-1.583578496013838	-1.583578496013838	0.34363522428289894	-2.594861532906026	-1.803423169730268	-1.2862021444819742	-1.583578496013838	-1.7200557086766226	-1.8707143449865136	-1.583578496013838	-1.026916309180113	-2.4423321030561795	-0.2499509590360295	-3.9673179630540356	-1.583578496013838	-3.1581717614894536	-1.583578496013838	-2.1080520515044197	-1.9363976601199928	-1.583578496013838	-1.583578496013838	-3.5961258732190284	-5.329101667493604	-0.20106028751986543	-1.8614738368413	-1.583578496013838	-0.5439992517885514	-0.47756453846928215	-1.6755810795360178	-3.4871359901229075	-1.5846134107594432	-1.0326011699921773	0.10700485432280113	-1.8407273343516422	-3.277086372328642	-4.078332125318991	-2.9286546882011733	-1.3849001509740662	-1.5652036623198766	-5.054140633653749	
