g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	
g0	-1.5403664162120985	-2.4706327930750125	-3.4505212628025848	-2.504992583594773	-1.6701301276823406	-1.4469855883641394	-1.5403664162120985	-1.5403664162120985	-0.8720049364032937	-1.0771810509374187	-0.9773523756607448	-1.5403664162120985	-1.482706162966878	-1.4197309991483287	-1.6050030283739092	-1.503314731246125	-3.4698077727812957	0.03308816933218776	-1.5403664162120985	-1.2695504597908898	-2.0294113548012644	-4.237422922768795	-3.137914461817939	-1.5403664162120985	-2.9131944985031577	-2.8402261644524245	-1.948096165636346	-1.0812565710038846	-0.20325939548416674	-1.5403664162120985	-1.4302794949957125	-1.2771003578268012	-2.6171092367473605	-2.2397160235108005	-1.4359164981456964	-3.431009855168315	-1.5403664162120985	-1.5403664162120985	-3.417592753979963	-2.136746595992952	-1.950687078367291	-1.5403664162120985	-3.160311245490973	-1.0184395677039442	-2.5526641382585926	-1.5403664162120985	-4.102807290658322	-0.6788130636314423	-1.5403664162120985	-2.563693152063865	-1.5403664162120985	-1.1171926394754512	-3.947457232172512	-1.746741642413025	-3.327394711432232	-2.079343879978178	-1.5403664162120985	-0.9650687501405768	-0.10792611039628551	
g1	-2.545781984946167	-1.9305137666645653	-1.9305137666645653	-2.4120858812613433	-4.9159400905238835	-3.0192288601687243	-1.9305137666645653	-1.4874555279409158	-5.694283905913297	-3.7702162039464726	-0.5324095779171986	-0.8058801597326324	-2.5086332700523277	-5.32881171933641	-1.9305137666645653	-2.9747840572098276	-3.0961225877718848	-1.9305137666645653	-1.0734418351570751	-2.150010345193053	-1.3727928764466413	-1.9305137666645653	-1.0311321534724083	-2.3651205441138665	-1.9305137666645653	-1.9305137666645653	-2.6317971082267895	-2.27443158467205	-1.9305137666645653	-1.9305137666645653	-1.6527924508417087	-3.738684386519119	-1.9968698644691536	-2.6872697788562827	-2.285234875943207	-2.4157455553695435	-1.8218603208353674	-1.9305137666645653	-1.6710670530226859	-1.9305137666645653	-2.1512466783773356	-1.9305137666645653	-3.09155290312923	-1.9305137666645653	-1.6827561416762857	-2.6786352432273572	-3.4383025869181303	-1.9305137666645653	-1.9900280102172112	-3.6220478069663735	-1.2216063667195953	-2.39155407841056	-1.160240308129334	-2.086593158323742	-6.202733960360706	-4.777304232399957	-3.772623648083603	-1.6046300433638079	-1.7685725070460676	
g2	-1.712461511461115	-1.4087237567579172	-1.4087237567579172	-2.266433935019114	-1.4087237567579172	-1.7392179557291474	-1.4087237567579172	-1.6107592080730424	-1.4087237567579172	-5.898369285460078	-0.18026806141756188	-1.3428612526273627	-0.9514038831176057	-2.7714115435308715	-5.0576775289778695	-2.232477401902534	-2.0564731952687243	-1.4087237567579172	-4.023457459177528	-1.4068508743461774	-0.8773855864475237	-1.140043169807844	-0.8331765979295306	-2.3672776397427797	-1.4087237567579172	-1.4087237567579172	-1.700872591587623	-1.2058994294603327	-1.4087237567579172	-1.4087237567579172	-1.8932175301331098	-8.158004860523265	-1.5798485650595222	-1.4087237567579172	-4.233165037976393	-1.3332288676400277	-1.2963145425519003	-1.4087237567579172	-1.3604825679592958	-1.4087237567579172	-1.384903918633095	-0.4192852699861725	-0.7385486179111438	-1.4087237567579172	-1.029797177345935	-1.800892438501185	-3.299567384375054	-1.4087237567579172	-2.3803559888697596	-2.457450716219649	-0.9374389134121502	-1.4142874928423594	-1.7888532028031028	-1.9723986266516003	-1.122651514969598	-1.4087237567579172	-1.4087237567579172	-0.8860435185115432	-0.25318678475688927	
g3	-2.3044188577621045	-2.6539724062090353	-3.1001747228689607	-2.3044188577621045	-3.5156749880759848	-2.078807439741469	-5.398463971471818	-2.3044188577621045	-2.3044188577621045	-4.073998151643648	-2.3044188577621045	-3.6057431405636247	-2.3044188577621045	-2.3044188577621045	-2.3044188577621045	-3.1790049839123355	-3.2586598684743557	-0.73282859211367	-4.974171741552657	-2.412439142301221	-5.799181303603405	-2.3044188577621045	-1.9170849046722833	-0.7592240821034372	-7.470759465872337	-1.8742642697642096	-3.057175501013675	-2.242648983098358	-4.254683144321959	-2.3044188577621045	-2.570104494692567	-2.3044188577621045	-4.012812457623895	-2.3044188577621045	-2.8640186664982727	-4.370265705566716	-2.4336309938384537	-2.3044188577621045	-2.3063234834322435	-2.1411627956205757	-1.658251022154575	-2.3044188577621045	-2.610715147032976	-5.579987442952983	-2.3044188577621045	-3.3257693301896527	-5.855479512063221	-0.8886988754371085	-1.9409548936211822	-1.9628342863602406	-3.0391561968736074	-2.3044188577621045	-2.4197309991483285	-2.1050511150074604	-3.551203899073693	-2.314768481865874	-5.291764373244882	-3.5970718009337563	-2.7619958313534907	
g4	-3.1504906596954956	-1.7660519937683454	-1.7660519937683454	-2.5460094576451606	-2.8885840202203923	-1.910941232973904	-1.7660519937683454	-2.7966710275047646	-1.7660519937683454	-1.7660519937683454	-0.5861178405878894	-1.7677862409566822	-1.6720735476135797	-3.606503841181657	-1.7660519937683454	-4.172135460088107	-2.4580609882898625	-1.7660519937683454	-2.215150984105041	-1.7529377555548715	-1.6100808172174148	-5.63529042014709	-1.3550325552239308	-3.4536474903753276	-1.7660519937683454	-1.7660519937683454	-2.5625847442288405	-2.091417634521186	-1.7660519937683454	-1.7660519937683454	-2.216484675139015	-1.7660519937683454	-2.699794256521563	-1.7660519937683454	-2.1953912837894585	-2.260995299684129	-3.134413696694546	-3.342978359844448	-1.9827336875752914	-1.7660519937683454	-1.669606816654459	-0.6555827865070101	-1.7121022287377308	-1.7660519937683454	-2.7228960116645506	-2.466137678612542	-3.8842145670638253	-6.707916754903306	-2.4742838902299513	-1.4944423509978988	-2.116254077373852	-1.7660519937683454	-1.6714116638974013	-3.7576026106534526	-2.0368869648914285	-1.7660519937683454	-2.2420550889964908	-1.4517961982123282	-1.0695699655565098	
g5	-4.4178810624964635	-2.877765236973078	-2.877765236973078	-2.170387459315751	-3.117073721164562	-4.228189452026957	-5.197065335289729	-2.877765236973078	-7.3137544764331635	-6.516870122084402	-3.1292162938422856	-6.127609019570046	-1.0470999049666074	-6.263049179106652	-4.755800728560659	-3.377834292687301	-2.242526088396565	-1.8811459482838202	-2.877765236973078	-2.7468191113882092	-1.8659157776823476	-3.0573075966995424	-4.461329144326292	-4.223834682895236	-2.877765236973078	-2.877765236973078	-3.6743207007713954	-4.805828204649954	-4.287667296033848	-2.877765236973078	-3.1886407723922483	-1.6807659107314568	-2.877765236973078	-2.877765236973078	-2.4284183212489094	-6.316617222816154	-5.957844300701758	-2.877765236973078	-2.6792265230541297	-2.877765236973078	-3.2844334138295026	-1.6952787021699842	-3.854479570735263	-2.877765236973078	-7.352985952330317	-3.5324308617170947	-3.29616219003821	-4.6114696577854595	-4.438116495775141	-3.40236375897404	-2.877765236973078	-2.255742440881721	-1.7452511748550774	-2.1177685931377566	-2.758789493483613	-2.0304365150822217	-3.149555794761826	-4.324561973470116	-2.778283742767819	
g6	-3.320615839385891	-3.6145923774538002	-1.6994755987272792	-7.479625990470287	-1.5976947742410035	-5.482303831915826	-3.2118588999340023	-3.8594422472263576	-1.9791287491418994	-0.43154950135536696	-2.360853057851186	-1.5976947742410035	-1.5976947742410035	-3.296303912784661	-0.6866008881477206	-0.45635960684734267	-1.9926954033942614	-1.005753383104926	-1.5976947742410035	-1.141181887685141	-4.189488125559912	-1.2673713113573817	-1.1221112914945037	-1.0443152241306766	-1.4494932990471394	-0.9465271659810054	-3.111028080755472	-2.522152770779366	-1.4058030905022585	-1.5878016309519345	-0.881844963865262	-1.5976947742410035	-0.96654246229846	-0.5926233174536227	-2.702158269758215	-6.736025647982094	-1.5976947742410035	-1.5976947742410035	-0.683705940057594	-1.676789054131814	-2.4395119821864224	-1.5976947742410035	-1.811143359565119	-2.77964032467037	-1.5976947742410035	-1.5976947742410035	-1.5976947742410035	-0.7439361969439281	-2.756672137262769	-1.8314041724956285	-1.5976947742410035	-1.5976947742410035	-1.5976947742410035	-1.5976947742410035	-1.6468574099431172	-1.5976947742410035	-2.7992998018481985	-2.5514034737709936	-1.5976947742410035	
g7	-1.1744292666720353	-2.1455674304137906	-2.1455674304137906	-3.2229292037393766	-2.0688222583124096	-4.880028227346018	-2.1455674304137906	-2.2800753558721687	-4.245311539362152	-4.980233761649054	-1.0484420440675704	-1.1554665094665446	-0.9472057436539602	-4.852779800382249	-3.153684010527765	-2.1455674304137906	-2.9161752969183277	-2.1455674304137906	-2.1455674304137906	-2.1455674304137906	-1.9948961275045705	-2.7887036578514746	-3.0539249573048903	-2.083985091857116	-4.326413184760449	-2.1455674304137906	-3.394999576235444	-1.7608268432936465	-2.1455674304137906	-2.1455674304137906	-2.846396979612984	-3.931674239334663	-2.394410848688886	-2.1455674304137906	-2.5918577219777226	-3.584371116979776	-2.6055341498996714	-5.0659706057991745	-2.900492026459792	-2.1455674304137906	-2.3279277371934874	-0.7719534156310515	-2.390207221939404	-6.332806530788803	-1.9018445876809882	-3.4268302577061753	-3.9268477417726553	-2.7917274759909083	-2.8613113301552726	-4.539848367698753	-1.795759099542717	-1.1919164948512389	-2.0775463718864744	-1.5339858456081847	-2.2901800320230836	-2.1455674304137906	-2.1455674304137906	-2.9332315677653216	-1.2445141706492238	
g8	-1.306009539199393	-1.439356866287579	-1.439356866287579	-1.8921621785302631	-0.5823672639614558	-1.5365574989302329	-1.439356866287579	-1.653223476498963	-7.432552370785512	-6.317433893673662	-0.11328754642063547	-1.1980665949776212	-0.39599132102850026	-1.7464463301012934	-2.177790335719288	-3.914745050562606	-1.439356866287579	-7.606440229134744	-1.54748047086934	-0.49725187666100223	-0.8218832730772385	-1.208751034294335	-0.9925375170544153	-3.0348341061548187	-1.439356866287579	-1.439356866287579	-2.6624510239597527	-1.4795727224799984	-1.439356866287579	-1.439356866287579	-2.3584465724953394	-4.206505922882167	-1.2646199329977217	-1.439356866287579	-1.5177671227621934	-2.244931263976809	-1.5281029446151229	-1.439356866287579	-0.9116494107092807	-1.439356866287579	-1.1835526599365924	-0.17214358771396587	-0.6743441846054596	-1.439356866287579	-0.9246946582678083	-2.0562751708305065	-2.411203106914651	-2.094002227932013	-2.0451098736204694	-1.4217317223995085	-0.9431168660831012	-0.8724934981316564	-1.741782610463982	-1.3724940139807018	-1.331426983524111	-1.439356866287579	-1.439356866287579	-1.2447124458831655	-0.2831126761657439	
g9	-2.24300360469556	-3.952898324651457	-2.24300360469556	-0.8604283476946558	-4.590320798064836	-2.4249123211983226	-2.24300360469556	-2.2664825247495894	-1.0132818079765342	-2.24300360469556	-3.0071039797338464	-2.24300360469556	-0.8692720440192402	-2.315665981702521	-1.5217923140163816	-2.322317675144104	-1.1757453773735491	-0.2458770081374744	-2.24300360469556	-2.24300360469556	-1.5402872143839341	-1.7972525572393152	-2.5111806484256665	-3.127248448873171	-12.11110237321741	-1.4839525692727196	-1.0352243385424502	-2.24300360469556	-1.1273083276262812	-2.823146209048053	-2.021376751513599	-2.24300360469556	-9.488210565487854	-2.233820428216041	-1.685143409321514	-2.596815187281647	-2.148045923095632	-1.7714558708768613	-3.309674095510114	-2.9264374872728336	-1.5968064597287461	-4.022559163147437	-7.91727256219862	-1.7460784845611015	-5.379085583790035	-1.855974520236482	-7.341776998588436	-2.24300360469556	-2.24300360469556	-2.3981475763015507	-1.2984953002350874	-2.24300360469556	-1.7576377346097667	-2.24300360469556	-3.0610713968413807	-2.2146620495900655	-2.1794754449972684	-1.3016036966747955	-5.962784795869672	
g10	-1.7619517937154507	-2.0268421357828785	-2.0268421357828785	-2.348287433135472	-2.122830587152648	-2.4126158052640183	-2.0268421357828785	-2.484905242940203	-2.0268421357828785	-3.9032307961847934	-0.9556674369431682	-2.8248318453010293	-1.3147900153240342	-2.2728689427721367	-3.7330909141238346	-3.131515510593741	-3.334843027895671	-2.0268421357828785	-2.576613304700582	-2.2604974943896146	-1.514062137107684	-2.0963570048194993	-1.992207446895476	-4.339035615030206	-2.0268421357828785	-3.592583287624931	-2.259764926821148	-2.7731265268385306	-8.41345148378401	-2.0268421357828785	-4.915966222674145	-6.283210987314509	-2.0268421357828785	-2.0268421357828785	-3.768064333606964	-3.429911732573983	-2.517990220572792	-2.0268421357828785	-2.530780838327182	-2.0268421357828785	-2.2152983667322954	-1.5990380678227936	-2.0268421357828785	-2.0268421357828785	-2.286649065678168	-2.3913496990413408	-2.0268421357828785	-2.0268421357828785	-3.8287849725623	-1.7952983442127235	-2.3424807198085684	-1.9593684350044644	-3.9850757403164234	-4.649309048750929	-0.9156880484581368	-2.0268421357828785	-2.0268421357828785	-2.626842931408119	-1.1234496569661305	
g11	-3.3592975784473835	-3.3592975784473835	-2.9201884200938806	-6.018913091362688	-9.51621762787988	-3.797736006907805	-3.3592975784473835	-4.231407945164105	-3.3592975784473835	-7.99060168571721	-4.251525027108622	-8.290772332450855	-1.683395449355677	-3.8392326062182076	-2.724611463758332	-3.6999667359783732	-2.745638161275377	-3.9562534725241125	-6.681927686908525	-6.351062663492574	-3.4274106373768034	-3.0690886035030656	-3.207721008042864	-2.969101786237516	-2.817002671464091	-4.115504917430642	-3.3592975784473835	-3.973639011598247	-3.2614932768068154	-3.36660487490957	-3.3592975784473835	-2.726968770134952	-3.0854783370484427	-4.188475044099258	-2.565997954491497	-4.46819107846764	-3.3592975784473835	-3.3592975784473835	-6.809653060336225	-4.5859935303860295	-3.3592975784473835	-2.5245913254374366	-3.3592975784473835	-2.3560514806971717	-3.4228715980313598	-3.4478157602218067	-3.3501723021963916	-3.428022306040993	-3.410227310471355	-4.850955038296634	-3.402391216710002	-2.3401704069283205	-6.352170127034009	-3.573712484446849	-4.532340720715764	-3.590138353625416	-3.3592975784473835	-8.3532241848802	-1.9259275741320985	
g12	-3.344718521660851	-1.8267894085044414	-1.8267894085044414	-1.98253982829757	-4.0966186098617845	-2.5672030386441436	-1.8267894085044414	-3.6798106497874175	-1.8267894085044414	-5.101885469261701	-1.0914114862494337	-1.098493187874375	-3.2255312907002054	-5.48620447622246	-4.5172665176983	-4.385059908353368	-3.1377112867951213	-1.8267894085044414	-1.5428028782102552	-3.0303716845239497	-1.253879892452296	-2.537005393324501	-1.5087564267959455	-1.8267894085044414	-1.8267894085044414	-1.8267894085044414	-2.1468059396866335	-2.3961261112668013	-1.8267894085044414	-1.8267894085044414	-2.5688798650058113	-4.916510750151615	-1.986633506163404	-1.8267894085044414	-2.7851291659960946	-3.4733365999195285	-2.7942872017236997	-1.8267894085044414	-1.680752035039176	-1.8267894085044414	-2.290377626679642	-1.2211791442224154	-1.363753574617625	-1.8267894085044414	-1.8267894085044414	-1.9086210636954417	-2.1504778492332637	-2.5053120058190266	-3.4436123761008948	-2.4029542154920525	-1.8764556333286593	-1.8467757493593415	-1.2584493127483025	-1.908236536376607	-1.784587293760118	-1.8267894085044414	-1.8267894085044414	-2.000969816962485	-1.48308118169972	
g13	-3.429414275106817	-0.7563699113179243	-1.3997569624012967	-0.5570193593778278	-2.5971905220112332	-0.6420291819889886	-1.3997569624012967	-7.6962334173315465	-2.7164527252743937	-0.061483847026212984	-0.014531629941138848	-1.3997569624012967	-1.3997569624012967	-0.18012421413781193	-0.06007086732959516	-0.11917814502991864	-0.901957807678986	0.17464929755935332	-1.3997569624012967	-0.5033024614661783	-1.9838174986211388	-0.1260939053058514	-3.085343636774187	-2.60935872557528	-1.496394808509558	-0.4564288905265147	-0.5120938689500597	-0.7778483227215806	-0.3139092003575106	-0.5280571762754341	0.12590232823524816	-0.2457675231965421	-1.2251096497666245	0.07660013850341946	-0.8616783067402874	-1.7611446751541737	-0.9359532158603492	-2.358017529204624	-2.3096526382756393	-0.030642813515268888	-1.6788892790859644	-1.0611647146639076	-2.2029903434800024	-1.3619280168863888	-1.5689440680115354	-0.9166790507161328	-5.690240797429209	-3.619364518104512	-1.3502870617283071	-1.5652677019313759	-0.7963051849638334	-1.905169405534508	-2.8465111189312116	-4.307884229104054	-1.1749210388334892	-1.3850470969676787	-3.6207871754353653	-2.162505576694019	-1.8952554171238256	
g14	-2.3265626065625544	-3.6019649115766654	-2.2609538093483406	-2.3265626065625544	-2.3265626065625544	-2.3265626065625544	-3.6364776715042177	-3.054679965629608	-3.988289117959529	-2.3265626065625544	-4.845531889707226	-2.3265626065625544	-2.3265626065625544	-4.51619980070239	-2.2076477008759547	-2.3212862383966466	-2.3265626065625544	-1.1218161385473637	-2.3265626065625544	-6.3573180184582165	-2.2882971840388033	-2.547417215948497	-2.9365522815274487	-3.3997332917607865	-2.2784365980040366	-2.35142043441475	-2.3265626065625544	-4.270263655155111	-3.7107349364064754	-4.570618635076795	-2.80871024912669	-1.8043550733405658	-1.8446859725751048	-3.8098590157252556	-2.3265626065625544	-3.5993833801055755	-4.958158192285909	-1.9906929628853471	-1.8968555658758914	-5.3890444891400175	-2.3265626065625544	-0.5159113776813926	-2.3265626065625544	-5.346829158814513	-4.327588779536135	-1.6500188208446105	-2.3265626065625544	-2.3568863544436796	-3.6533532631310286	-2.3265626065625544	-2.40391594098267	-2.3265626065625544	-4.056486397864419	-5.181625836114916	-2.9737410084904305	-5.352411761296417	-1.9619628271593508	-2.3265626065625544	-3.1190778647319704	
g15	-3.607335273022337	-2.5800512795129675	-1.7978479423015725	-2.388257266064558	-0.42879890887015015	-1.7978479423015725	-0.9902114148262205	-3.4761369911736506	-1.8231104744504691	-1.5043375797625897	-1.7978479423015725	-2.4136839247121205	-1.7978479423015725	-1.7978479423015725	-3.117649627344701	-1.7978479423015725	-1.3152817834258255	-1.4386396450097947	-1.3781605140090392	-1.7978479423015725	-2.5866312208946227	-2.3256044338946524	-3.1173240869084875	-1.7978479423015725	-0.9565938966496215	-1.4057266397213617	-3.002957669131772	-1.8966621650374882	-1.6351631445362456	-1.7978479423015725	-1.7978479423015725	-1.7978479423015725	-0.9756831579657658	-2.2266180056619493	-3.9669998163164943	-4.225094135730867	-1.7034779848318724	-2.5333593078573227	-1.512707120590314	-1.7978479423015725	-2.70045991601305	-4.703595455705614	-3.467153642545171	-2.1213923542824697	-1.1908951201210516	-2.4337401164941173	-1.276051821505913	-2.1679866007578927	-3.685570288851468	-2.056845314704561	-1.7978479423015725	-5.8554293941225195	-1.7978479423015725	-2.001882501991545	-4.814205496116637	-1.3300661643310394	-1.5653018575532043	-2.4520487943671396	-1.718146288416081	
g16	-2.779471920350553	-2.977622243507684	-2.012070892543841	-6.704945647659072	-4.746441489419425	-2.704106517284703	-4.928169246983861	-2.704106517284703	-2.704106517284703	-5.259662673390027	-1.460818354157626	-4.463963019241177	-1.7527335441763288	-3.6626318848113426	-2.433981774608351	-4.604314178537383	-2.367687108184528	-2.7306412363092085	-1.9054558277215454	-2.754820779060787	-1.4420380831234298	-1.807442207747997	-2.134382025654736	-2.9537073196472625	-2.433366016032494	-2.704106517284703	-1.8710784440501678	-2.4864405322218683	-2.704106517284703	-6.615584093607896	-3.397381214108672	-2.456729818255179	-4.767926754571271	-2.704106517284703	-2.0478036266584705	-2.895502304145335	-1.8090185869633848	-1.2473918320359612	-2.704106517284703	-7.487138578499378	-2.704106517284703	-3.55257610979883	-2.4725372567513237	-3.9955932444726203	-4.920904976748836	-2.1231950834122	-2.5767079762239535	-2.9807051573164585	-1.6921005627451609	-2.704106517284703	-7.69065205004894	-2.6645990685589114	-1.9796350607326891	-1.7022474651180013	-1.3457441197868254	-5.024579355355051	-3.856595086815383	-3.112836618156092	-2.4527120697699343	
g17	-1.5422447699303043	-3.111726281682478	-0.9580393538670414	-2.1524648297398827	-1.5422447699303043	-5.837045472474747	-3.101251439513967	-4.742187973037427	-2.3124949225064255	-1.6668785769075003	-2.9401463725592833	-1.5422447699303043	-1.9119018339270357	-0.3369669544208257	-1.6348046820396935	-1.3386298186845644	-1.3233209677711286	-1.2334913389647786	-1.5422447699303043	-1.4194878570793794	-3.532679613323855	-0.36568554014355215	-2.9950801520645856	-3.3475045104942716	-3.423003120600269	-1.274742221851866	-1.5422447699303043	-1.5422447699303043	0.23755148166662193	-1.2826984384873064	-1.7984665037154912	-2.6397683394949256	-2.8801365616260255	-0.9100300674046212	-1.1542779321700454	-3.602352101967875	-0.9367290120015486	-3.186235633911238	-1.5422447699303043	-0.2779484820089824	-3.117536931957582	-1.5422447699303043	-1.5422447699303043	-1.3056457347573676	-1.5422447699303043	-3.442866980939559	-1.5422447699303043	-0.8144962350503895	-1.3567053009703116	-1.5422447699303043	-0.5187382631022619	-1.5422447699303043	-1.5422447699303043	-0.9098430242477367	-1.1810676559895033	-1.5422447699303043	-3.61390511689505	-5.341010757202181	-1.5422447699303043	
