g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	
g0	0.97	0.12	0.37	1.83	-1.58	0.54	3.07	-0.48	-0.65	-0.95	-0.86	-0.56	-3.13	-0.06	0.18	1.99	-0.11	-0.11	0.05	0.49	
g1	-4.91	0.99	-6.71	-0.55	0.21	0.29	1.7	0.44	-4.36	1.34	-0.19	0.58	-2.2	-1.17	-1.68	-2.59	1.02	-0.08	-0.63	0.18	
g2	-2.8	-0.51	-1.54	0.33	0.06	-1.53	3.05	-4.2	-0.56	1.07	-2.97	-1.8	0.2	-0.24	0.53	0.67	3.81	0.06	0.53	-3.89	
g3	-0.29	-2.48	-1.24	-7.38	0.11	-1.25	-0.28	-0.82	3.51	-1.12	-0.82	-0.45	-1.21	-1.22	-1.4	-1.17	-5.76	-0.34	-0.4	-3.64	
g4	1.42	0.52	-1.14	-1.44	-0.57	0.52	0.18	0.34	0.93	-0.04	0.08	0.17	-3.74	0.84	-0.47	1.92	-0.52	0.23	0.07	0.35	
g5	-3.82	-1.46	-1.97	1.63	1.11	0.56	0.06	-4.43	0.52	-2.33	0.42	-0.33	-1.54	1.11	4.26	-0.33	-2.68	3.07	-0.64	0.25	
g6	-2.31	-1.17	-2.62	-1.53	-0.72	-0.63	0.54	-2.0	-0.94	-0.66	-0.33	-0.45	1.3	-0.97	-0.54	0.55	-1.79	-0.29	0.36	-3.99	
g7	0.93	1.33	0.24	6.6	0.8	-1.28	-0.69	-0.05	-0.54	1.09	-0.07	-0.32	-0.75	-0.55	0.31	-2.25	0.82	-0.21	0.64	0.71	
g8	-0.11	-1.16	-7.83	-5.0	0.67	-4.83	0.65	1.4	0.49	1.12	0.23	0.4	-0.56	-0.93	-2.52	1.1	-4.0	-0.37	-0.7	-0.73	
g9	-1.73	2.71	0.31	-1.61	-1.44	-0.8	-3.97	0.47	-1.72	1.43	-0.16	0.64	0.81	0.84	-2.2	-0.12	0.8	-1.58	0.57	0.35	
g10	-0.79	0.18	1.23	3.2	-0.7	-2.13	-0.37	-1.34	-0.82	-1.54	-1.69	-0.91	-2.48	-0.46	1.42	-2.95	2.03	-0.19	-0.79	-1.81	
g11	-3.0	-1.72	0.0	-0.98	1.41	1.03	-0.37	-1.73	-2.8	-2.91	0.04	-0.54	-0.96	-0.84	-1.64	2.14	1.11	-0.51	0.12	-0.24	
g12	-2.23	-0.32	-2.52	-0.61	-1.89	2.06	-2.19	-0.48	0.51	0.3	-0.17	0.66	-0.95	-1.02	-0.74	0.51	-2.47	-1.38	0.07	0.57	
g13	-1.44	1.69	2.53	-5.0	-0.63	2.19	3.03	0.51	-1.85	-2.87	-0.95	0.13	-1.23	2.6	0.29	-0.03	-1.23	0.8	-0.09	0.66	
g14	0.2	2.41	-3.98	1.11	1.54	-0.81	1.69	-2.59	-0.02	2.07	-0.16	-0.35	0.29	0.91	0.28	5.28	1.02	-1.34	-1.06	-0.56	
g15	0.55	1.49	0.06	-1.56	2.89	4.66	1.24	-1.2	0.4	2.64	-0.04	0.84	2.03	-2.93	0.29	3.31	-1.93	0.13	0.19	0.67	
g16	0.95	-1.08	-0.35	-1.02	5.13	-1.34	-1.72	-2.74	1.13	3.41	0.15	-0.78	-3.22	-0.49	0.87	-0.94	0.16	-0.64	-0.21	-2.25	
g17	0.28	-3.5	-1.11	-2.26	-2.03	-0.95	0.51	-0.8	-1.85	-1.58	-0.63	-1.1	-1.65	-1.01	-1.15	-2.09	-0.33	-0.73	0.71	0.29	
g18	-0.5	4.04	2.41	-1.36	2.01	1.32	5.73	3.96	0.43	-2.3	3.13	-2.15	0.72	-2.6	0.34	-1.07	-0.22	0.45	-2.81	-0.43	
g19	-1.06	-0.04	-0.59	-0.57	1.5	2.91	0.31	-1.47	0.78	-1.48	-0.79	0.01	0.05	0.74	-2.03	-1.11	1.14	0.22	-0.11	-0.87	
g20	-2.62	0.83	1.52	-3.42	1.5	0.65	10.16	-1.42	1.48	-0.63	-0.81	-0.13	3.06	1.25	1.54	5.54	1.78	-0.13	0.09	0.32	
g21	0.13	-1.06	-5.12	-0.8	-0.61	-0.62	0.49	-0.79	-0.38	-0.85	-0.42	-0.69	-0.79	-1.0	-0.11	-1.74	-1.37	-0.21	0.52	-1.86	
g22	0.16	-1.25	-0.45	-1.12	-0.87	-0.58	-2.11	-0.55	-0.93	-8.88	-0.73	-0.93	-2.8	-0.97	-2.8	-3.77	-0.53	-0.46	0.49	-0.77	
g23	-2.74	-1.01	0.01	-1.54	-0.12	3.72	-2.03	-0.68	-0.25	2.25	0.19	-1.45	1.83	0.46	0.28	1.19	-0.45	-0.33	0.6	-1.53	
g24	-1.21	-1.65	3.27	0.12	0.44	0.15	-2.44	0.11	2.25	1.96	-0.59	-0.62	-2.2	-0.95	-2.31	-0.05	-2.07	-1.16	-1.05	-0.35	
g25	-0.66	-3.04	-2.11	0.41	-1.14	-0.53	-0.5	-1.01	-4.0	-0.53	-0.4	-0.46	0.97	-2.14	1.92	0.24	1.63	0.89	-0.01	-2.94	
g26	1.81	3.38	-0.52	-5.44	0.41	2.22	0.26	-2.55	0.51	-3.86	-0.85	4.51	1.96	-0.92	-2.1	-0.24	0.73	2.78	-1.98	-1.23	
g27	-3.75	-2.36	-1.4	1.71	-4.45	-3.4	-1.89	-0.45	0.52	0.2	-0.22	-1.1	-2.9	0.86	-1.6	-2.68	-2.37	0.69	-0.02	-2.73	
g28	0.72	-5.92	-3.62	-0.39	1.57	-0.99	-0.31	0.69	0.31	0.48	-0.25	0.6	0.5	1.79	-4.43	0.72	-0.69	-0.99	0.24	0.87	
g29	-1.1	-0.06	2.2	-2.19	2.07	-0.36	-1.73	-0.11	2.39	-0.36	-0.52	-2.26	-0.06	-1.7	0.37	0.81	0.35	-0.58	0.4	-1.63	
g30	0.51	1.2	-0.7	3.14	1.27	-0.61	-0.64	0.02	-0.47	2.24	-1.79	3.11	0.35	-0.32	-0.06	-0.01	0.98	-0.94	-5.91	-0.69	
