g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	
g0	1663.1	1509.5	1415.7	1311.0	712.2	1240.5	1369.3	1403.9	1901.9	928.1	1546.7	904.3	1255.3	1195.2	2119.7	1096.3	1638.8	2672.0	1204.3	1386.5	2390.3	2161.3	1664.8	738.6	1350.0	1434.5	1606.9	1547.2	1422.1	
g1	712.6	842.2	1133.9	998.5	791.0	998.8	677.8	854.1	1252.9	587.5	372.0	687.5	844.2	724.8	1146.1	764.1	878.3	1096.5	693.4	848.8	1076.6	1108.3	1414.5	734.2	422.2	812.0	869.2	1087.7	1059.5	
g2	4362.2	3852.2	4705.3	4652.3	2854.0	4897.8	5053.5	5790.4	7322.1	4413.7	7850.1	3998.4	5028.8	7788.5	5244.5	6395.8	6890.6	19265.7	4953.0	5052.9	8122.6	6156.8	3476.5	8281.5	12664.7	4839.0	11162.5	4598.8	5442.4	
g3	1953.3	1469.4	1897.7	1466.3	958.6	1433.3	2595.3	2160.1	2489.1	1591.8	1524.8	1688.5	1674.4	2622.1	4508.8	1999.3	1973.8	4233.9	1668.3	1962.5	2875.6	5588.8	4077.4	2966.2	1455.2	1551.2	2555.7	1412.1	1700.4	
g4	24325.0	19390.5	18120.8	14963.2	12294.0	23930.7	16366.2	20537.4	20940.4	14972.3	17241.5	15463.0	21309.7	15842.2	11553.0	23597.2	24361.1	19633.8	15056.2	18333.7	16585.4	12443.0	10293.4	14196.5	21252.4	20734.9	19036.8	22692.1	17261.1	
g5	4163.0	3658.4	5158.0	4351.8	2965.9	6090.6	4055.5	6348.8	6071.3	4068.3	6006.1	5408.3	4710.3	4695.3	6733.7	6041.3	5067.2	7674.3	5136.8	4442.5	4459.4	6589.8	6496.8	7447.5	6047.3	5392.6	6356.4	5159.4	4895.2	
g6	4243.1	5037.4	6167.7	6006.2	1636.4	3650.1	6261.1	10955.6	11267.9	10704.7	10681.6	3477.9	3896.1	7246.9	6442.3	5662.2	10629.5	20771.5	4679.0	5019.5	8492.5	6602.3	4731.2	2678.7	4608.3	7448.1	9216.5	6149.4	4616.2	
g7	12893.8	11573.1	10125.9	7784.3	5211.8	7477.1	9056.3	8355.7	6417.5	7325.9	13089.6	5299.7	7410.0	7125.2	13538.6	6840.4	9105.7	13935.7	6933.4	6326.1	11722.3	11493.0	8987.2	13055.1	18364.8	7857.4	9193.8	8379.3	8942.2	
g8	8243.1	8040.7	5558.9	3684.0	2432.8	10711.7	9986.2	6215.1	6322.8	8134.5	9008.1	5519.8	7501.3	11534.1	7073.7	5958.6	6949.9	10839.3	8889.2	6518.9	10864.9	7600.2	4191.5	9654.4	15499.6	7799.7	11629.5	8485.5	6777.2	
g9	17876.5	15067.0	15152.5	8957.0	11085.9	12308.8	11907.5	9718.4	10274.4	9628.6	16220.9	8171.8	11629.2	12075.9	13611.7	17427.6	12020.9	14668.1	10069.8	9335.9	21626.1	11736.7	9326.7	17019.9	21676.7	12320.3	15831.0	12374.5	13323.7	
