g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	
g0	-3.9474171691189714	-4.181018588345701	-4.229450007686977	-2.447110790635994	-2.862496476250065	-2.8241880062782694	-2.447110790635994	-5.308144279454263	-2.447110790635994	-2.687799537362322	-3.615287037577954	-2.447110790635994	-2.447110790635994	-2.447110790635994	-5.0125190456472435	-3.652538432874526	-2.447110790635994	-2.447110790635994	-3.517874535920009	-2.8603995354144853	-2.447110790635994	-4.139490039162453	-2.447110790635994	-2.447110790635994	-2.9434164716336326	-2.815021540306669	-6.7440618415658955	-1.3284348738289469	-2.447110790635994	-3.751008142032962	-4.824817359181424	-1.1913266450967985	-5.651087759005801	-4.163849638388736	-2.52616114710497	-3.737157966330088	-1.3515612176479825	-2.447110790635994	-3.560212354714983	-1.4707287562940683	-0.5674681212618838	-2.5786285669991056	-2.447110790635994	-0.9885043611621706	-5.80309085245085	-1.9517638143471523	-1.9686048037244657	-2.5353317329965557	-2.447110790635994	-2.447110790635994	-4.701399985822477	-1.4771407448083023	-2.4988518365004992	-3.8932496849391325	-1.8262329322632938	-2.2716005413289375	-3.7695772703685155	-2.73792771160159	-2.447110790635994	-2.447110790635994	-2.447110790635994	-1.783886641553699	-8.56524635507836	-2.447110790635994	-3.615994414420215	-2.447110790635994	-4.706888529586651	-3.5124313308864767	-2.61885488469145	-2.5568530107905416	-5.616702138270998	-5.611755346607701	-2.918115033270773	-2.250165425587271	-2.750493979010853	-2.884700355974453	-4.517213658656557	-2.447110790635994	-2.447110790635994	-2.681307166851665	-3.294774043383635	-3.484711427834333	-1.6966576055126692	-2.447110790635994	-3.3406599427869756	-1.4994018758485304	-2.9714308478032287	-5.090004221593599	-2.447110790635994	-5.157399234005994	-2.447110790635994	-2.6310222859653445	-2.5691795034802287	-3.536643586779633	-2.609906655945343	-2.4555920453155373	-2.705675963920215	-2.485196014428227	-2.4920023405359464	-3.750691470466186	-1.0589633851105766	-2.809954113105561	-4.058298822697848	-3.743907203585053	
g1	-3.902371551913232	-3.1853688368291624	-2.6321614970568223	-4.015304233451297	-3.637229026270678	-10.084308274463336	-3.1853688368291624	-4.409165554646612	-3.4261162313743534	-3.5964906477602345	-2.024916132561096	-2.8974094971746878	-4.143642733473645	-4.36271187963006	-3.1853688368291624	-3.5472118091585307	-4.602064787734415	-5.549514801652665	-3.1853688368291624	-3.21718918436126	-3.1853688368291624	-2.6515799028384865	-1.1668265367616597	-2.24947924481767	-3.3061190564604623	-7.613154715197788	-3.573333155092624	-3.1853688368291624	-3.2695122007362234	-2.4416526089933326	-3.4836100078075827	-3.3093649241461542	-1.7126459149707933	-3.1532860593285235	-2.517358646735898	-3.3122391077065654	-2.5794906495110967	-4.676318653703866	-1.9879319766909096	-2.2067444854186924	-5.376620047962315	-3.068543859087288	-3.1853688368291624	-1.7993701020169255	-2.1108901934083804	-7.3028952052558616	-1.3036500098630126	-4.460088531457368	-2.73416794672503	-5.069014155178746	-1.9714948985141385	-3.573633116525602	-3.0819191301522926	-2.570482270956524	-2.045133690098103	-4.107859472771868	-7.16255724822716	-2.746233763349798	-5.31674371902764	-3.4494538978361504	-4.832631815947735	-3.640234373266961	-3.063155441343286	-3.4490611875825117	-1.6058904188022485	-5.596063757527691	-3.00807144321536	-3.1047296922992276	-3.5632199943452934	-4.1553411808169125	-4.1391396035842565	-3.0328402979092037	-3.731589561708275	-2.712404414878241	-3.2856735067762477	-3.7122189797222918	-3.449803576062866	-1.9336886801516282	-1.7982976345229278	-1.939435018577872	-7.972291063603672	-2.6697575267946223	-2.395316931566122	-4.155217125097337	-2.750974645462119	-1.9571653047285638	-2.7129920981467888	-3.8953697622193175	-4.396386135700786	-3.3076032485106532	-3.786671383983524	-2.8926005829040875	-5.108506452781886	-2.7289692379772124	-4.230811475445917	-2.978802894382361	-1.9575512940323394	-1.2928832972196296	-3.105652295768534	-2.8907171369941635	-3.3050266897114438	-1.4299944024285847	-1.1755475124805863	-1.9188530052360457	
g2	-2.7601293834997156	-6.898145567786725	-1.4442599594794645	-2.7601293834997156	-3.4961985494247863	-2.1642375813053087	-2.975964064544491	-2.7601293834997156	-2.77595972578207	-4.662644978294322	-4.205563338195578	-4.582279697224244	-2.7601293834997156	-3.1700692781603577	-3.806720275851542	-2.7601293834997156	-3.006941609418847	-2.7601293834997156	-4.831974193556057	-2.7601293834997156	-2.7601293834997156	-2.375503419268806	-2.9279473613132323	-4.339546325430997	-2.7601293834997156	-2.7601293834997156	-1.8328990310369249	-7.534161324948796	-2.7601293834997156	-2.7601293834997156	-4.213342522063766	-1.5011734610674827	-2.7601293834997156	-2.0435516615823923	-2.5786285669991056	-3.1844245711374275	-7.024302320793109	-2.640686641932005	-2.178949597442651	-4.107305894238815	-2.7601293834997156	-3.1545701671488486	-2.7601293834997156	-3.6877995373623222	-2.584673990563033	-3.8938929316054574	-1.4872168790826372	-2.059494937256015	-4.207366527904442	-3.8603995354144853	-2.7601293834997156	-2.7601293834997156	-1.629947344284086	-3.2028665612951888	-3.510247858774082	-2.7601293834997156	-2.7601293834997156	-3.1818038709782916	-3.1417802337289342	-2.803896602285193	-2.046325015550513	-1.0191703792493263	-3.5565630873375573	-2.5698009598730875	-2.7601293834997156	-2.273806952838969	-1.6228939912818112	-4.864806636937266	-29.77302471898406	-2.7601293834997156	-2.142417044615852	-3.2515387669959646	-2.7601293834997156	-2.7601293834997156	-2.5104570643575266	-4.112287580959762	-2.7601293834997156	-2.7601293834997156	-1.5968413702571356	-2.9411986463838136	-12.57401656470609	-1.128471729137777	-6.089589277869118	-7.697649360737197	-3.751853820932877	-2.9467496152977497	-2.7601293834997156	-2.7601293834997156	-3.649095461225149	-2.29689930039584	-3.3047188048551397	-6.864806636937266	-2.351810697281863	-6.39896913065119	-4.714065192056127	-2.7601293834997156	-2.961282892427146	-4.2528641226875585	-1.9064872947701983	-2.7601293834997156	-2.7601293834997156	-2.485196014428227	-3.1456053222468996	-5.34285393374191	
g3	-2.5104604205378984	-2.6730025354342413	-1.4747521881691503	-2.5104604205378984	-4.310432456049533	-2.5104604205378984	-4.066125258284644	-2.5104604205378984	-2.5104604205378984	-8.696152633721649	-1.7848805754827048	-2.5104604205378984	-4.409354869212515	-3.6711635357704604	-4.827461280605603	-2.5829441401868505	-4.322216662753289	-3.2750878406843897	-2.5104604205378984	-4.291380130724396	-6.172928932299598	-2.5104604205378984	-1.7388904710906985	-2.220969417760984	-28.459060002407114	-2.5104604205378984	-3.873449973475885	-1.4308158215543523	-2.5104604205378984	-4.88725983927301	-3.4386200919248786	-2.5104604205378984	-3.2202780187929276	-4.167215281105205	-2.5104604205378984	-2.5104604205378984	-6.858766034779967	-5.033628600230031	-2.5104604205378984	-2.5104604205378984	-2.5104604205378984	-5.034101227602282	-3.320311132551499	-4.008798360049511	-2.1221772381715254	-1.139235797371172	-2.5104604205378984	-2.3018704425461087	-4.233786498018344	-1.9823390583300027	-2.583318174679638	-3.733315388373576	-1.1697446758323171	-3.1265804965651434	-5.577594747506003	-2.5104604205378984	-4.654353828912344	-2.7169079418249527	-6.145094724102872	-6.246600844180297	-4.485519162607624	-2.2189341015640367	-6.813600865607042	-2.5104604205378984	-3.9882753801219493	-5.3616717396923335	-2.9873598192212296	-3.905088352974533	-2.6197138438769216	-2.961205977574443	-2.5104604205378984	-2.5104604205378984	-3.369147250560013	-5.209828515111127	-4.024443179176788	-1.4292542018848065	-3.4200117569575834	-2.5104604205378984	-0.8580441144163556	-4.897973500872466	-3.0165681435883056	-2.5104604205378984	-4.351074440546879	-2.5104604205378984	-3.5276578051111347	-2.5104604205378984	-2.3011592297927903	-2.5104604205378984	-2.5104604205378984	-2.5104604205378984	-4.318181955654468	-2.5104604205378984	-0.07598936406727749	-0.03523174216116817	0.01228707492955898	0.10235633602410857	-0.005172674285304046	-0.10629956567601256	0.386431914574063	-1.6954111156451515	-1.413358593037395	0.07021461304937388	0.18513722288672033	-0.4651673372284483	
g4	-3.388204396991533	-2.3879536572492266	-2.3879536572492266	-3.3075728019102923	-3.7169079418249527	-4.600861726156313	-2.3879536572492266	-2.3879536572492266	-1.3324257340249812	-1.7558436043718957	-4.979828530054578	-3.1265846782222786	-27.031434039434053	-2.103456884144101	-3.4481936269188043	-2.3879536572492266	-2.3879536572492266	-2.3879536572492266	-2.219605903690676	-2.2549778509627356	-2.3879536572492266	-3.7029377419760148	-2.093571140686314	-2.453625657230238	-2.3879536572492266	-4.048610586463495	-2.3879536572492266	-2.4196615258042913	-2.3879536572492266	-2.3879536572492266	-1.7993701020169255	-3.2023402942396317	-2.888968687611256	-3.4976255199435213	-6.054092702789748	-2.8999341635414284	-3.7657194231477775	-1.3514425219472397	-4.983018822078441	-2.3879536572492266	-2.611755346607701	-2.0098940287248945	-0.8777911382997707	-2.3879536572492266	-15.511432949611756	-1.3759459088898995	-1.1723435417292256	-2.923577724541398	-2.3879536572492266	-1.9356689537540162	-2.1209216288312693	-2.3879536572492266	-0.7680761267062365	-1.7955158413238166	-1.1202942337177118	-1.7302486779516255	-3.3503385593573007	-3.878061904841056	-2.4580053242079702	-2.3879536572492266	-3.1366958406572016	-2.3879536572492266	-2.3879536572492266	-2.3879536572492266	-2.3879536572492266	-2.643340160075269	-3.1740095822548513	-4.677108016207528	-4.139998657197296	-3.623265095001478	-4.2302451840580515	-2.3879536572492266	-2.3879536572492266	-1.0421596732937675	-2.3879536572492266	-2.154570167148848	-3.1170915891617272	-4.583158476561648	-2.820124026403837	-1.5494872253476264	-2.3879536572492266	-2.3635569805141063	-0.6901253399632337	-2.3879536572492266	-1.4899554665514207	-3.85337705016695	-1.4366395676718575	-4.7842841329574775	-2.3879536572492266	-4.247052324360657	-2.7408179196618128	-5.567981322799597	-2.3879536572492266	-4.351957993728046	-3.0528949484321255	-2.3879536572492266	-2.3879536572492266	-3.862706338064515	-1.9164802511798271	-2.5014427519009836	-1.830331500476914	-2.911586990273275	-2.4932965131993434	-3.294750771369249	
g5	-3.3368649111507245	-3.5638808130541286	-4.998615677129459	-3.383031159910521	-4.221892373725519	-2.7008725915876233	-2.1635910677202617	-3.7502998204692926	-2.1171613442327493	-3.1190402614172195	-2.989255070137097	-2.989255070137097	-2.989255070137097	-3.737157966330088	-2.989255070137097	-3.313297789743922	-3.187050040544251	-2.4219791086976907	-2.989255070137097	-2.49817873457909	-2.173970213500261	-9.187575708264	-2.4297313844218773	-3.0362299689292374	-2.989255070137097	-2.989255070137097	-1.6121963354666713	-3.6753967448982037	-4.649955650816196	-2.7302486779516255	-1.6315624010831211	-2.3075153849045473	-1.8685116515610143	-1.1377270038380023	-0.732942098949661	-2.2415459144079133	-2.7690592238760594	-4.869438085668913	-2.989255070137097	-2.989255070137097	-1.6465637821382169	-4.049969347586616	-1.7418095603384227	-2.989255070137097	-2.989255070137097	-2.989255070137097	-2.9400910109813148	-2.11153923044196	-2.7918573526622783	-2.7171223411218075	-4.014849356347547	-1.0297353209854712	-29.34153669892462	-3.259806382979565	-5.606318551071602	-2.412731031895675	-2.989255070137097	-2.989255070137097	-5.014849356347548	-5.253738836108394	-4.278795726244802	-2.989255070137097	-2.969847651999523	-1.7467294940028146	-2.989255070137097	-2.5487756978733103	-1.8936431714183555	-3.2709040918628958	-2.7968615028091515	-5.585886121137395	-2.8437328369481967	-3.905088352974533	-7.491737685342781	-3.3387611791080274	-2.989255070137097	-1.2990276927772837	-4.526826136764538	-1.5269924320838264	-4.3983605269548045	-2.989255070137097	-2.5311560570253624	-1.9067102699985234	-2.436179662621492	-3.504422033122112	-2.3606752108291547	-5.5301556906099965	-2.989255070137097	-3.5775947475060033	-29.622345806486393	-1.689194568936827	-3.3729107758451633	-5.046921047387493	-2.989255070137097	-2.0018339750252427	-12.646166350461927	-2.989255070137097	-3.5037319658656543	-2.110915901401851	-1.8091005023157916	-2.989255070137097	-2.989255070137097	-1.9310124091550485	-1.38049175060079	-2.989255070137097	
g6	-2.0825599465992743	-2.5327464315180013	-2.5661132159907605	-3.3709800919291855	-2.5327464315180013	-2.276485124126195	-2.5327464315180013	-2.8643305755912163	-2.5141121288685913	-4.010424979419093	-2.5327464315180013	-6.35934205653048	-2.5327464315180013	-3.200729888041042	-2.5327464315180013	-2.5327464315180013	-7.983201337739496	-2.5327464315180013	-2.5327464315180013	-2.000434093256647	-17.551037654406183	-4.17754905008461	-2.3503385593573003	-6.71887256793126	-6.168771306825943	-2.5327464315180013	-2.2432984198983523	-2.009262921328968	-2.5327464315180013	-2.2095615718147994	-2.20157615452214	-2.3009698607608478	-1.960063590618921	-2.5327464315180013	-4.737996239451902	-0.5907448533151622	-4.581005845115244	-3.0162493516450746	-2.827029066845341	-2.5327464315180013	-2.5327464315180013	-3.4224430723745916	-3.9014187443984594	-4.532897856906966	-3.5045504233908047	-2.5327464315180013	-3.257045243302508	-1.8889686876112561	-2.888087373564281	-3.5711189996175285	-1.8137563192588366	-2.5327464315180013	-1.5849555826952162	-1.9394274009470411	-3.2761435716761262	-2.5327464315180013	-3.4952287443667216	-6.076569843841203	-3.7287682120245016	-4.098022349839014	-1.2177489081058694	-2.1704878359608175	-3.2046791513724795	-2.735407724278187	-3.400683224575632	-2.5327464315180013	-3.478587378027169	-3.102661670900408	-4.186012312814692	-2.0350469470992008	-3.067334051854221	-2.5327464315180013	-3.4053560041477655	-2.594134781215854	-2.5327464315180013	-1.363272843757816	-1.995313596846232	-3.2670806624743975	-1.8037679736182126	-1.1354275372428675	-2.5327464315180013	-3.230366019077927	-1.9595839644180693	-3.984388252689939	-2.341937285086939	-1.821535199907754	-2.1302719744750247	-3.0027615887301486	-3.0150825945730797	-4.610231270904324	-3.705946884072581	-3.8909639072001276	-2.5327464315180013	-2.5327464315180013	-2.5327464315180013	-2.5327464315180013	-4.4087418693983675	-2.5327464315180013	-2.712173132714919	-2.5327464315180013	-2.3888647973018786	-5.933170473274277	-7.132691801190874	-5.121472380734846	
g7	-0.9851973877455664	-3.4626939489079795	-2.482386634371352	-1.5944933058636503	-2.295318137729762	-1.3511249510480556	-2.778310056293907	-2.422444556648549	-4.445362036135641	-2.34360337210099	-2.4048171891790338	-2.1048807311326674	-2.010498099530203	-1.5017134270482932	-2.778310056293907	-8.7621133990599	-2.778310056293907	-3.608665175513213	-2.778310056293907	-2.81744001118842	-2.7210451462767202	-2.181257099736775	-2.778310056293907	-2.366674286897943	-3.829722374676554	-3.151130338728398	-2.778310056293907	-3.264600375553296	-2.6980612330346645	-14.019029553164275	-2.778310056293907	-2.778310056293907	-29.826963526094865	-2.778310056293907	-2.778310056293907	-6.636371500291903	-3.440655033458114	-2.778310056293907	-2.778310056293907	-2.778310056293907	-2.778310056293907	-2.778310056293907	-2.778310056293907	-2.778310056293907	-2.778310056293907	-3.2006667272706895	-2.616171312837565	-3.589855680751478	-2.5177458140740296	-2.8836352433082153	-1.281576347429999	-2.8919959420023353	-3.176098876885892	-11.98733531242197	-2.996665513813137	-3.990526383973067	-2.778310056293907	-1.8224703895730296	-3.2328034280930353	-4.1597180585730555	-2.252225928257295	-1.6872427138447688	-1.681605653038591	-3.7655232048488156	-2.778310056293907	-2.2384482715101672	-5.988826507898868	-2.330392555511474	-3.421824487290235	-3.949456367036633	-3.8181298302681306	-3.5042531805449775	-5.669326877290843	-5.106562712841813	-4.097235006342288	-3.414114469790615	-2.273553611299877	-2.8334130859295503	-4.0922171330403385	-8.941464605466674	-4.677656899883949	-2.6261316937309043	-1.075440595105645	-2.194617276379545	-2.7567927107873986	-2.5357018790645958	-2.563290607237074	-2.2406234056412773	-1.9406837351633597	-2.1957010827749452	-2.136588985462125	-2.8085691535571	-2.778310056293907	-2.365871442474959	-3.413806924481224	-2.778310056293907	-5.845110148733852	-2.778310056293907	-2.778310056293907	-4.426315249912201	-3.0	-2.778310056293907	-2.778310056293907	-2.778310056293907	
g8	-3.666720921042664	-3.3641011057812165	-0.5414080118481444	-2.84619200906698	-3.00709451511159	-2.205200931025992	-2.7093396881886447	-3.9722514440750576	-2.84619200906698	-2.6268496025989823	-5.407516650606351	-2.84619200906698	-3.395837164915989	-2.3378856687903387	-3.6993725186259727	-2.646836770542211	-8.47721027770055	-3.1430541367175673	-2.84619200906698	-2.84619200906698	-6.219580792219299	-2.84619200906698	-7.888883197104823	-4.082652269004805	-4.066608654181574	-6.485519162607625	-5.581734477866927	-3.1379652600447674	-1.049904905826314	-2.84619200906698	-2.84619200906698	-2.84619200906698	-2.84619200906698	-4.068301816465985	-2.84619200906698	-3.655989640787504	-3.549789063666009	-4.021628621221724	-16.806425045891114	-2.84619200906698	-2.84619200906698	-2.086102451999575	-0.8523025563861287	-3.6114026525487657	-2.825210106952185	-2.90654569362498	-1.2632652555088026	-3.950090477556942	-4.741038004554484	-3.614697076016423	-2.2096609632474977	-3.905088352974533	-2.455338793314151	-1.7211825969252785	-4.659240045815171	-2.2290441292088783	-4.325431372563341	-1.5653317443856478	-1.0767367018230538	-4.6496720830857345	-1.481565576228925	-1.0593301987793948	-1.5591850420394864	-1.7299424491175135	-2.84619200906698	-2.84619200906698	-1.8847104419641998	-2.865759253450516	-4.145126879946354	-6.17918792277128	-2.343000318505964	-2.3104920937264257	-2.214930834076993	-1.7486689075692285	-4.405986588907215	-2.7358611639209687	-4.514641803625464	-3.1989241408325424	-2.7146909731538624	-2.2680078453647834	-2.84619200906698	-1.5764494090526509	-2.009169401609644	-2.84619200906698	-2.1045744270932616	-1.4289542796140284	-2.0159169813156748	-4.887169233975372	-4.299811736188469	-4.404225047659884	-9.009727632249685	-2.84619200906698	-2.84619200906698	-2.84619200906698	-4.142544440531065	-3.116535581897678	-3.0940464709747375	-2.3821065753637125	-2.1592924594893823	-2.181538998718962	-8.08451122323284	-4.7344390368002145	-1.8921182141030655	-6.65778198616308	
g9	-2.5081544951015036	-2.5081544951015036	-2.5081544951015036	-2.5081544951015036	-0.9845024306046744	-3.0746081599075423	-5.178665301848743	-4.864360320222565	-2.5081544951015036	-2.8635460907313495	-2.5081544951015036	-5.526451803511434	-2.5081544951015036	-3.8073260684453216	-3.796861502809152	-2.669936629658066	-2.370340300072608	-2.2632652555088026	-4.091233197765447	-8.996403519720479	-2.5081544951015036	-2.5081544951015036	-3.5765912690608523	-3.7487474920979893	-4.040259514914517	-5.887686861635426	-2.0187581521158053	-13.863625446402787	-3.542710405572715	-2.5081544951015036	-0.9579160413287475	-1.2769358429587658	-0.5959503042931089	-0.09804222694569543	-0.6604064990346017	-0.7423002402026733	-3.229720656790274	-3.3997302464909955	-2.570943344470513	-1.8487665608486266	-0.15457016714884828	-2.5081544951015036	-2.5081544951015036	-2.213116370827162	-2.5081544951015036	-2.8593522068451582	-2.5081544951015036	-1.8692815303863861	-2.5081544951015036	-4.678164240550021	-2.910501849160897	-2.5081544951015036	-4.976392452476572	-2.5081544951015036	-3.2547394148006585	-1.6695300708162526	-2.5220118918983485	-2.87514253274424	-2.5081544951015036	-3.6704285917704147	-3.887900420223765	-2.5081544951015036	-0.8516793221095744	-1.8339273240532943	-2.1580207588446747	-3.9174609640038844	-4.012116173730562	-14.966389131267963	-3.2633804771143833	-3.34870301845525	-3.286304185156641	-2.610873773075296	-2.6878887865434145	-2.479893969278611	-3.5060130587380587	-2.366615291442657	-2.5081544951015036	-2.5081544951015036	-4.721563534559767	-1.7490384264667815	-3.045729229855121	-5.059374667568071	-3.442849723718632	-2.5081544951015036	-7.840463810947675	-20.103464095822158	-3.2365034386346845	-2.5081544951015036	-2.706511797624492	-2.5081544951015036	-2.5081544951015036	-2.5081544951015036	-2.2799842649171955	-3.3303009954792264	-4.436588016662697	-2.49817873457909	-2.5081544951015036	-2.0222425348603084	-2.5081544951015036	-1.6971253296344149	-1.3011592297927905	-2.5081544951015036	-2.5081544951015036	-2.5081544951015036	
