,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
g0,6.151392581231127782e-02,7.512257330717192483e-02,6.812947275342712272e-02,7.196243285562391179e-02,9.117695518022590762e-02,7.618936121135234940e-02,7.457816289887948813e-02,7.777566219064960262e-02,6.548003806123389725e-02,5.994264481723578231e-02,5.823725552004990758e-02,6.323494906021497053e-02,8.788613326743575926e-02,5.666676926659252461e-02,8.636557443082611141e-02,8.924819044055272432e-02,5.657644240371149935e-02,3.846973721235397159e-02,4.466221756476346227e-02,6.933386085923755326e-02
g1,4.052769239946354962e-02,5.105788214375284184e-02,4.868775790238405454e-02,4.620263492216196421e-02,6.411159676538628893e-02,5.376521734678980924e-02,4.712289966251331785e-02,5.479751083545467832e-02,4.592025098504941283e-02,3.876079851791294772e-02,4.143940967479321780e-02,4.387444680210942499e-02,6.127678385493291052e-02,3.847559399908240946e-02,6.251975671010248647e-02,5.913062304375484024e-02,4.176783778587576934e-02,2.586601178499301976e-02,3.026063563796848460e-02,4.900863464123621227e-02
g2,6.124523424040390768e-02,9.733909954481503868e-02,8.382752891751406310e-02,7.911978524512208732e-02,9.448356419437986542e-02,7.490523683199190597e-02,8.513802352271242213e-02,6.252068492398164812e-02,5.558198412674361655e-02,6.856426651759287005e-02,5.703716805322167627e-02,6.417337643311216144e-02,8.329409620576305739e-02,6.016402079395820335e-02,9.261529846084942674e-02,9.156762715864559532e-02,4.758503862485087554e-02,4.015240208908874009e-02,4.034073908183352652e-02,7.846498618191369290e-02
g3,3.670876807467364500e-02,3.188157015683347473e-02,2.310638506357833716e-02,3.809462859333986179e-02,3.679063847352533750e-02,3.262973581803613882e-02,4.633168449375607567e-02,2.982448390126425306e-02,2.644121049888236569e-02,3.158908984173110918e-02,2.689377612748101651e-02,2.798419478964998819e-02,4.485012798139707824e-02,2.802655233003064836e-02,3.458121109615643757e-02,4.391510800857997138e-02,2.186711203829190889e-02,2.022345046955723383e-02,2.066546347094854255e-02,2.908554730699667787e-02
g4,5.045066984776439695e-02,5.443403060067504573e-02,4.273293591959799465e-02,4.526093652089164393e-02,5.895732465569717556e-02,5.194913904305749341e-02,5.843526605520775463e-02,4.697560325107932172e-02,4.143497371591601391e-02,3.764919802871213167e-02,2.892318882669414962e-02,4.281397071245871683e-02,6.731456532813596960e-02,4.455129825833239327e-02,6.364609900624823569e-02,5.797770095895552617e-02,3.548745514604186024e-02,3.038071873951873197e-02,3.883892070279164332e-02,4.880039085801913396e-02
g5,6.125535106456540119e-02,8.264678589541697706e-02,7.915533562308979532e-02,9.803722899452438355e-02,1.084570441278235736e-01,8.553961676900986855e-02,8.228140554158630549e-02,1.038791363077612717e-01,8.371416920402344197e-02,7.961002878330511456e-02,7.529459395434906499e-02,7.351166327181611615e-02,8.621117945766201829e-02,5.817553736154175426e-02,8.304288177779067803e-02,1.158135582800753072e-01,6.338298328799406300e-02,3.952981936298816112e-02,4.534734917332583493e-02,7.273699349980064510e-02
g6,3.213181658829708520e-02,2.242084968936216421e-02,1.433837532210414413e-02,2.575390262043400491e-02,2.953208923399123706e-02,2.813576195797253682e-02,3.464161846734924860e-02,3.078619447084916111e-02,2.623085018448885822e-02,1.982939546710640530e-02,1.262542254486008313e-02,2.320286237131968105e-02,3.998592950821129588e-02,2.530369718688032371e-02,3.004601630648819077e-02,3.400764976518159954e-02,1.972068459706621119e-02,1.785293121026877705e-02,2.623307945969290123e-02,2.206259605385106279e-02
g7,8.711511063991640713e-02,1.399375604011221241e-01,1.287151531277433425e-01,1.238070745041921494e-01,1.507524905585030106e-01,1.186717509119553926e-01,1.196559854209097717e-01,1.132131757140071582e-01,9.638685103459185277e-02,1.058131200127509775e-01,9.849874950594755818e-02,1.009158767800306389e-01,1.250698434565734873e-01,8.735279036202978076e-02,1.385284609416967683e-01,1.454373977130151985e-01,8.220588257888913897e-02,5.814873519858495404e-02,5.902049639475707987e-02,1.175732067272206305e-01
g8,4.633727167924531209e-02,5.884979677660578251e-02,4.810538865540606168e-02,4.649196174409463839e-02,5.969913213460361495e-02,5.059799579982342949e-02,5.717754125752326499e-02,4.258535883813499567e-02,3.811269612045758981e-02,3.970532950991569054e-02,3.182820120453866419e-02,4.217775939545299890e-02,6.257475993569508455e-02,4.265422961564162285e-02,6.363334949172433364e-02,5.727694371654414029e-02,3.353162133556019525e-02,2.880849919558529232e-02,3.354483581617249965e-02,5.047718825660293951e-02
g9,4.805782978453133208e-02,6.107402159979177098e-02,5.680376616544635660e-02,6.203604675485788894e-02,7.369294174432158839e-02,6.044280177643658603e-02,6.189095179300432847e-02,5.952094148802762608e-02,5.037355210104597913e-02,5.254387407460872628e-02,5.476085229686079858e-02,5.072004011140770346e-02,6.869163752700620240e-02,4.342619983156834063e-02,6.728879094412316964e-02,7.366157683813637225e-02,4.508808526616932266e-02,2.982325631891991069e-02,2.903035560296224685e-02,5.620923265529555873e-02
