,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
g0,7.182810913108091111e-02,4.026824879745889707e-02,4.389416347669425345e-02,7.093031527007229164e-02,6.408940837059734497e-02,5.690939732683871627e-02,5.147224600370556985e-02,4.912849179155726748e-02,5.409605519411783692e-02,3.965951458910996208e-02,3.825485304606199288e-02,4.476819180922744085e-02,7.434746553999353746e-02,4.917619536207732539e-02,4.772330088710376172e-02,7.726323345711982871e-02,4.278050657803649653e-02,2.417546791771982978e-02,4.318025082498727629e-02,6.455784545672157981e-02
g1,5.716059689261216575e-02,3.074733906435991870e-02,3.996827479459118954e-02,5.200812689809151262e-02,5.106251386866375586e-02,4.188061542834357887e-02,4.556320209852648961e-02,4.314378127273012925e-02,4.208423151718240079e-02,3.333802710283035459e-02,2.828395788776884995e-02,3.214525373805184050e-02,5.949887949509269358e-02,4.543499013908532114e-02,3.688205541182988656e-02,5.357789066114816701e-02,2.805146309039886765e-02,2.031014760113667578e-02,3.097220993924695853e-02,5.288769548027521389e-02
g2,1.205132303850364461e-01,5.523802560811427731e-02,6.485074297792003950e-02,1.207328487685933732e-01,8.983215658522986091e-02,8.485928143066341633e-02,8.780751153531056452e-02,5.937152616589290444e-02,8.309695748198547838e-02,5.677672280089714196e-02,5.494234520356326701e-02,6.221550182205684565e-02,1.102983885261602237e-01,9.681375237284013668e-02,8.754164101565681255e-02,1.015102353787587230e-01,5.849133915501462944e-02,3.504420886586499112e-02,6.247592994701459124e-02,1.133857552976941657e-01
g3,4.038383394839460683e-02,2.316918102568570406e-02,3.353484854566284035e-02,3.511020957010882459e-02,3.136999020418119316e-02,2.717462212402917826e-02,2.930316984813588835e-02,3.561150237107259947e-02,3.298795167224397029e-02,2.555483335849681459e-02,2.005738555354362462e-02,2.630848922803973727e-02,4.370204077283627170e-02,3.649417149554382706e-02,2.609969180362415458e-02,3.422394225247754607e-02,1.987843655380417546e-02,1.288242378038210317e-02,1.901181358752909376e-02,3.803782754436325214e-02
g4,1.098543409557142664e-01,4.992295122380635553e-02,7.116573224895290928e-02,1.126716456890684698e-01,7.153270758210907021e-02,7.244305506184781085e-02,7.204244586066931022e-02,6.180131497089554060e-02,8.291031470314463858e-02,5.494014326274013899e-02,5.036073973062334119e-02,6.185253998135616799e-02,1.032077975019285027e-01,1.005048192170255872e-01,7.740537829264533543e-02,8.549788141120227836e-02,5.384156659781999532e-02,3.155576399420989553e-02,5.171705745215481043e-02,1.058278644126580681e-01
g5,1.089679228934158361e-01,5.726808843267811033e-02,7.651732591501614333e-02,9.764677782799813244e-02,7.982858186797367472e-02,7.246437269278652171e-02,7.998058332258881076e-02,7.739024611440727119e-02,8.244372422182669191e-02,6.100640219726103514e-02,5.071846594603988956e-02,6.456710556302752702e-02,1.088104475001416965e-01,9.567330410285621034e-02,7.640990021485749573e-02,8.653749194761976848e-02,5.089058724588172572e-02,3.107440088283852653e-02,5.089278662135236081e-02,1.030357671041670919e-01
g6,2.433832540707923237e-02,9.872436277685910783e-03,2.481177962675743323e-02,2.665469699747877522e-02,1.931101877792447061e-02,1.559263017411794544e-02,1.702247496962909848e-02,2.143427209865062313e-02,2.064056931986801499e-02,1.578532062910768113e-02,1.191401654878131849e-02,1.228387470465434374e-02,2.660168837867479125e-02,2.813595918746655475e-02,1.144264674645478763e-02,1.948102826817669012e-02,1.064992788587863261e-02,1.206549104879589725e-02,1.142458513178897135e-02,2.468058391723105746e-02
g7,1.324662558172968740e-01,5.958199634862033217e-02,8.761495019763433645e-02,1.452345527491214483e-01,9.702693531000315674e-02,9.410929021652789106e-02,8.545285668641869337e-02,7.691746901840704198e-02,1.016560883973562091e-01,6.782577376490477039e-02,6.505189753559068033e-02,7.423138823658420593e-02,1.286597046949257972e-01,1.162066408762748998e-01,8.610315657446036830e-02,1.192944096626668837e-01,7.144164664981277058e-02,4.571208408216769631e-02,7.009951280374018823e-02,1.264327228484762589e-01
g8,4.378981108747180551e-02,2.365876096695124914e-02,2.878865314739388268e-02,4.510123117895711853e-02,4.446794705000566006e-02,3.640858949479249679e-02,3.347832678498327552e-02,3.205225690121797644e-02,3.265564930069557448e-02,2.534497089351342089e-02,2.414267499412432391e-02,2.508966583529283548e-02,4.699370620661381254e-02,2.976872238221740796e-02,2.571178803078093961e-02,5.093855040106959331e-02,2.608302010472988292e-02,1.852727730638706674e-02,2.850047975306378711e-02,3.936233260022889424e-02
g9,8.373531689299053282e-02,3.360157394555352006e-02,6.395576189451569749e-02,9.459195717459167874e-02,6.062531002160229110e-02,5.652915207350301535e-02,5.473187772693741820e-02,5.230813947628023403e-02,6.558636793258082465e-02,4.480515944242514231e-02,4.006008769050817958e-02,4.296070163883162346e-02,8.241551865360366436e-02,8.358722600251339285e-02,4.960894812076987320e-02,6.982123269843935887e-02,4.118113475369018089e-02,3.327993741900628355e-02,4.195809204036092532e-02,8.249837509239370259e-02
g10,6.443179737225640524e-02,4.384500233377507106e-02,4.336865530599547797e-02,4.459482027704485957e-02,6.238388707904916203e-02,4.866518511556930382e-02,5.672295035025939902e-02,5.810827072319804665e-02,4.689360667708001446e-02,4.097718888004426435e-02,3.271914954672765913e-02,4.236186963784979720e-02,7.066997024768603697e-02,4.175695694311572920e-02,4.602797719859327841e-02,6.328401810433723074e-02,3.204900289887616105e-02,1.803876875228951557e-02,3.494506543371687923e-02,5.644975278838605670e-02
g11,5.875841743016994856e-02,3.771822370409393804e-02,4.996189556196808240e-02,5.464336842015159873e-02,6.046710767989060820e-02,4.804224418072380876e-02,4.375270822189605835e-02,5.939322960718253219e-02,4.963871476315359632e-02,4.072100064083937487e-02,3.457515432233250474e-02,4.102244230633982081e-02,7.024981822695876288e-02,4.250341607170157743e-02,3.197590118324902114e-02,6.987081375353569601e-02,3.663081828155774489e-02,2.502888150373753715e-02,3.656116171920527347e-02,5.236437029574491503e-02
g12,3.834698657922205878e-02,2.018290017073974194e-02,1.971202864774543664e-02,4.231423930724086818e-02,4.007700310656709536e-02,3.410547056501439522e-02,2.846369616011829376e-02,2.252785702989622968e-02,2.716149321551961787e-02,1.988111928430839198e-02,2.167878981923478457e-02,2.148584211746869949e-02,3.945290167473138043e-02,2.154248327694976289e-02,2.358341902803470780e-02,4.866270039508563405e-02,2.508983789575642415e-02,1.591715467807534520e-02,2.738690754499730970e-02,3.363384926133128339e-02
g13,1.460688324364914359e-01,6.253769237068068643e-02,1.116701105657170179e-01,1.651002244888132020e-01,1.208344247120999998e-01,1.059551197472001494e-01,9.970758465105619694e-02,9.832426231741221712e-02,1.141699199550720994e-01,8.141767819867014311e-02,7.390535466565448242e-02,7.585396564094416816e-02,1.494036099754279812e-01,1.354770237466905169e-01,8.188209130203653874e-02,1.382890925245592595e-01,7.665379589767352952e-02,6.342866959474283139e-02,8.082132948174031162e-02,1.410660706460505343e-01
g14,2.081442628751823953e-01,1.239346135655441661e-01,1.286320032570633376e-01,1.624755548366689228e-01,1.734165170715727400e-01,1.472221309897754904e-01,1.707766623093145142e-01,1.528354881698245904e-01,1.478484965055308353e-01,1.178318116795365744e-01,9.811048760138468827e-02,1.263162487210390539e-01,2.102866986771441404e-01,1.526561053269595014e-01,1.552997346588638750e-01,1.795847107154984745e-01,9.769663877152490183e-02,5.288947825435058592e-02,1.043045559863727406e-01,1.888089912115912261e-01
g15,1.945785234368903882e-01,1.084636611832004022e-01,1.657523864985959439e-01,1.687786906428322131e-01,1.641004558611259823e-01,1.326475224135068576e-01,1.512264475030349886e-01,1.757678640922736291e-01,1.552203598746675073e-01,1.255193277195799650e-01,9.614192226370629757e-02,1.177033651796797892e-01,2.127897685421164531e-01,1.774392429983759345e-01,1.191612413181900865e-01,1.672228323807529449e-01,9.045129959402477271e-02,7.031631797138548912e-02,9.436752735600641151e-02,1.839711428224367340e-01
g16,1.063952402270573194e-01,7.043496730641934933e-02,5.601385030868188258e-02,9.253242423452343046e-02,8.978052325243247866e-02,8.519187898613214682e-02,7.395048605675985653e-02,7.442786436640812242e-02,8.087373562684957440e-02,5.836038686763891231e-02,5.759114363800118402e-02,7.827025002392722086e-02,1.101328760835021403e-01,5.987324021430266707e-02,8.150434162158110007e-02,1.162926585789018641e-01,6.826328281159051159e-02,2.396424379330381813e-02,6.275396960054212270e-02,9.161686078660696841e-02
g17,1.849290264016876725e-02,1.084177237993983606e-02,1.575674683281455546e-02,1.570837099226749314e-02,1.765314533678099054e-02,1.347117840854467237e-02,1.523479026645073106e-02,1.770618598385370612e-02,1.457589970043561556e-02,1.238269582255266572e-02,9.556661899959802142e-03,1.115640320277921579e-02,2.092569835006662105e-02,1.554983748307395622e-02,1.079294639154196843e-02,1.776124279608547185e-02,8.964177468381413771e-03,7.339605280474174182e-03,9.858949347677383943e-03,1.712245133208809347e-02
